GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0005739	mitochondrion	20	1827	0.011580775911986103	0.009421022235056309	1.22924833665005	0.20524913079217008	0.774566143042469
GO:0048870	cell motility	22	1791	0.012738853503184714	0.009235386328946826	1.3793525305223926	0.08516659976488461	0.7660685072982274
GO:0007155	cell adhesion	20	1749	0.011580775911986103	0.009018811105152428	1.2840690171867586	0.1573098290492098	0.774566143042469
GO:0050877	nervous system process	12	1735	0.006948465547191662	0.008946619363887628	0.7766582286085214	0.845689831103231	1.0
GO:0055085	transmembrane transport	15	1701	0.008685581933989578	0.008771296563673116	0.9902278267458734	0.5504639491347401	1.0
GO:0016192	vesicle-mediated transport	12	1694	0.006948465547191662	0.008735200693040715	0.7954557418156935	0.8232051439119066	1.0
GO:0007010	cytoskeleton organization	15	1595	0.008685581933989578	0.008224701951239635	1.0560360710311794	0.45136219798431554	1.0
GO:0022414	reproductive process	26	1582	0.015055008685581933	0.008157666762922322	1.8455042505546986	0.002594207538020405	0.05923440545146591
GO:0006629	lipid metabolic process	17	1533	0.009843659525188187	0.007904995668495524	1.2452454040448107	0.2131072064576546	0.774566143042469
GO:0098542	defense response to other organism	17	1433	0.009843659525188187	0.007389340373746957	1.3321431991630808	0.14603122397832483	0.774566143042469
GO:0005215	transporter activity	8	1361	0.004632310364794441	0.00701806856152799	0.6600548746685204	0.9173078459763682	1.0
GO:0005768	endosome	9	1242	0.0052113491603937466	0.006404438760777196	0.8137089532824786	0.7753923716585172	1.0
GO:0005198	structural molecule activity	6	1227	0.003474232773595831	0.0063270904665649105	0.5491043303324306	0.9618562598904321	1.0
GO:0006886	intracellular protein transport	12	1222	0.006948465547191662	0.006301307701827482	1.1027021494564522	0.40658025282336174	0.9523307412870134
GO:1901135	carbohydrate derivative metabolic process	7	1188	0.004053271569195136	0.00612598490161297	0.6616522296892882	0.9040810601654614	1.0
GO:0030163	protein catabolic process	10	1154	0.005790387955993051	0.005950662101398457	0.9730661659703816	0.5773408958149084	1.0
GO:0008092	cytoskeletal protein binding	11	1044	0.006369426751592357	0.005383441277175034	1.1831515240256731	0.32915728863253507	0.9018909708531461
GO:0005773	vacuole	4	991	0.0023161551823972205	0.005110143970958294	0.4532465612632978	0.9766776203498778	1.0
GO:0000278	mitotic cell cycle	9	987	0.0052113491603937466	0.0050895177591683514	1.0239377102095628	0.5170645448600047	1.0
GO:0006954	inflammatory response	12	920	0.006948465547191662	0.004744028711686812	1.4646761159084614	0.12486313233683277	0.774566143042469
GO:0005815	microtubule organizing center	7	908	0.004053271569195136	0.0046821500763169835	0.8656859569062493	0.6987247576754705	1.0
GO:0005764	lysosome	4	887	0.0023161551823972205	0.0045738624644197845	0.5063893373302459	0.9556406492525825	1.0
GO:0008289	lipid binding	7	873	0.004053271569195136	0.004501670723154986	0.9003927249380004	0.6598398108455804	1.0
GO:0061024	membrane organization	6	861	0.003474232773595831	0.004439792087785157	0.7825215021113732	0.7782207146270563	1.0
GO:0006325	chromatin organization	6	861	0.003474232773595831	0.004439792087785157	0.7825215021113732	0.7782207146270563	1.0
GO:0016491	oxidoreductase activity	9	823	0.0052113491603937466	0.004243843075780702	1.227978760603692	0.31410977689607367	0.8782252945869815
GO:0034330	cell junction organization	6	791	0.003474232773595831	0.004078833381461161	0.851771192563707	0.7065735082876274	1.0
GO:0005929	cilium	9	768	0.0052113491603937466	0.003960232663668991	1.3159199478865085	0.2492545122100785	0.8130444803043037
GO:0055086	nucleobase-containing small molecule metabolic process	3	723	0.0017371163867979154	0.0037281877810321357	0.4659412263609214	0.9558976015574188	1.0
GO:0031047	gene silencing by RNA	1	707	0.0005790387955993051	0.003645682933872365	0.15882862171567474	0.9982284285748017	1.0
GO:0140657	ATP-dependent activity	8	660	0.004632310364794441	0.0034033249453405386	1.3611131582179643	0.23840028663144905	0.796605835817281
GO:0006281	DNA repair	2	660	0.0011580775911986102	0.0034033249453405386	0.3402782895544911	0.9812229135798237	1.0
GO:0060090	molecular adaptor activity	8	640	0.004632310364794441	0.0033001938863908256	1.4036479444122754	0.21473909936029292	0.774566143042469
GO:0005975	carbohydrate metabolic process	7	613	0.004053271569195136	0.0031609669568087124	1.2822884973423725	0.3070152976180601	0.8762728286182132
GO:0003013	circulatory system process	10	609	0.005790387955993051	0.00314034074501877	1.8438725049750746	0.04883578102116727	0.557541833324993
GO:0006914	autophagy	8	605	0.004632310364794441	0.0031197145332288274	1.4848507180559607	0.1757061336888051	0.774566143042469
GO:0005840	ribosome	1	601	0.0005790387955993051	0.0030990883214388845	0.1868416564941465	0.9954127318307293	1.0
GO:0007005	mitochondrion organization	7	594	0.004053271569195136	0.003062992450806485	1.3233044593785763	0.2806383443297103	0.8607214996544578
GO:0048018	receptor ligand activity	12	589	0.006948465547191662	0.0030372096860690565	2.2877793321490403	0.007421862279623438	0.12709939153855138
GO:0030312	external encapsulating structure	8	583	0.004632310364794441	0.0030062703683841428	1.5408828206241103	0.15294359047254164	0.774566143042469
GO:0031012	extracellular matrix	8	582	0.004632310364794441	0.0030011138154366567	1.5435303856080007	0.15194425044358786	0.774566143042469
GO:0005635	nuclear envelope	5	544	0.0028951939779965257	0.0028051648034322016	1.032094076773732	0.5327102565547128	1.0
GO:0006091	generation of precursor metabolites and energy	5	541	0.0028951939779965257	0.0027896951445897447	1.0378173341310726	0.5278471995503132	1.0
GO:0055065	metal ion homeostasis	0	532	0.0	0.0027432861680623736	0.0	1.0	1.0
GO:0140098	catalytic activity, acting on RNA	3	482	0.0017371163867979154	0.0024854585206880906	0.698911839541382	0.8033364357430046	1.0
GO:0042060	wound healing	5	459	0.0028951939779965257	0.0023668578028959203	1.2232226095096081	0.3883581807923767	0.9435839797327279
GO:0007018	microtubule-based movement	11	439	0.006369426751592357	0.002263726743946207	2.8136906402797326	0.002238367379875515	0.05923440545146591
GO:0003012	muscle system process	7	433	0.004053271569195136	0.0022327874262612927	1.8153414523576776	0.09505959579613041	0.7660685072982274
GO:0044782	cilium organization	2	416	0.0011580775911986102	0.0021451260261540366	0.5398645940047213	0.8855855728206217	1.0
GO:0007059	chromosome segregation	3	399	0.0017371163867979154	0.00205746462604678	0.8442995154359553	0.6904319098330349	1.0
GO:0051604	protein maturation	5	362	0.0028951939779965257	0.0018666721669898106	1.5509922037704702	0.22287182510621686	0.774566143042469
GO:0003924	GTPase activity	5	360	0.0028951939779965257	0.0018563590610948394	1.5596088271247506	0.21967505078464092	0.774566143042469
GO:0042254	ribosome biogenesis	1	357	0.0005790387955993051	0.0018408894022523823	0.31454295673104216	0.9590909755751813	1.0
GO:0006310	DNA recombination	4	356	0.0023161551823972205	0.0018357328493048967	1.2617060174492365	0.3910671072240205	0.9435839797327279
GO:0006913	nucleocytoplasmic transport	5	352	0.0028951939779965257	0.001815106637514954	1.5950544822866768	0.20703402679843105	0.774566143042469
GO:0006790	sulfur compound metabolic process	2	352	0.0011580775911986102	0.001815106637514954	0.6380217929146708	0.8216497179578817	1.0
GO:0030198	extracellular matrix organization	4	350	0.0023161551823972205	0.0018047935316199827	1.2833352634626518	0.3790718197052172	0.9435839797327279
GO:0140014	mitotic nuclear division	5	348	0.0028951939779965257	0.0017944804257250114	1.6133884418531903	0.20080582325188895	0.774566143042469
GO:0006520	cellular amino acid metabolic process	3	332	0.0017371163867979154	0.0017119755785652408	1.014685261020922	0.5681703094076705	1.0
GO:0072659	protein localization to plasma membrane	1	305	0.0005790387955993051	0.0015727486489831278	0.368169952632728	0.9348102862425842	1.0
GO:0006260	DNA replication	2	303	0.0011580775911986102	0.0015624355430881565	0.7412002346731488	0.7526546739166521	1.0
GO:0140097	catalytic activity, acting on DNA	0	264	0.0	0.0013613299781362156	0.0	1.0	1.0
GO:0042393	histone binding	1	249	0.0005790387955993051	0.0012839816839239305	0.4509712271204098	0.8923425388826713	1.0
GO:0000228	nuclear chromosome	1	247	0.0005790387955993051	0.0012736685780289593	0.45462281600397586	0.8903966424668273	1.0
GO:0006457	protein folding	20	240	0.011580775911986103	0.0012375727073965594	9.357652962748505	1.0162843594949211e-13	1.3923095725080419e-11
GO:0006486	protein glycosylation	2	240	0.0011580775911986102	0.0012375727073965594	0.9357652962748504	0.6313397914923891	1.0
GO:0007163	establishment or maintenance of cell polarity	3	238	0.0017371163867979154	0.0012272596015015882	1.4154433052896898	0.3557863952436739	0.9373603105458331
GO:0006399	tRNA metabolic process	0	237	0.0	0.0012221030485541026	0.0	1.0	1.0
GO:0016829	lyase activity	2	220	0.0011580775911986102	0.0011344416484468463	1.0208348686634732	0.5841673988916452	1.0
GO:0032200	telomere organization	3	213	0.0017371163867979154	0.0010983457778144467	1.5815751486335499	0.2952840181296315	0.8607214996544578
GO:0140013	meiotic nuclear division	3	211	0.0017371163867979154	0.0010880326719194752	1.596566382269887	0.2904550486031853	0.8607214996544578
GO:0016874	ligase activity	0	198	0.0	0.0010209974836021616	0.0	1.0	1.0
GO:0045182	translation regulator activity	1	195	0.0005790387955993051	0.0010055278247597045	0.5758555669383695	0.8253902944210445	1.0
GO:0000910	cytokinesis	0	195	0.0	0.0010055278247597045	0.0	1.0	1.0
GO:0006575	cellular modified amino acid metabolic process	0	185	0.0	0.0009539622952848479	0.0	1.0	1.0
GO:0016853	isomerase activity	3	183	0.0017371163867979154	0.0009436491893898767	1.84084976316364	0.22385891974407518	0.774566143042469
GO:0002181	cytoplasmic translation	0	179	0.0	0.000923022977599934	0.0	1.0	1.0
GO:0140053	mitochondrial gene expression	1	174	0.0005790387955993051	0.0008972402128625057	0.6453553767412761	0.7892689186761235	1.0
GO:0005777	peroxisome	1	154	0.0005790387955993051	0.0007941091539127923	0.7291677633310523	0.7479469456612394	1.0
GO:0098754	detoxification	2	137	0.0011580775911986102	0.000706447753805536	1.6392968693865992	0.34498194521675124	0.9267162057783318
GO:0003774	cytoskeletal motor activity	0	128	0.0	0.0006600387772781651	0.0	1.0	1.0
GO:0003014	renal system process	3	127	0.0017371163867979154	0.0006548822243306794	2.6525630445586312	0.10503614213107917	0.774566143042469
GO:0006766	vitamin metabolic process	2	118	0.0011580775911986102	0.0006084732478033085	1.903251450050543	0.28301988003457573	0.8607214996544578
GO:0005811	lipid droplet	0	109	0.0	0.0005620642712759375	0.0	1.0	1.0
GO:0007040	lysosome organization	0	108	0.0	0.0005569077183284518	0.0	1.0	1.0
GO:0022600	digestive system process	1	104	0.0005790387955993051	0.0005362815065385092	1.0797291880094426	0.6056651866099549	1.0
GO:0140104	molecular carrier activity	4	101	0.0023161551823972205	0.0005208118476960522	4.447201408038892	0.012943510927047326	0.17732609970054838
GO:0038024	cargo receptor activity	0	98	0.0	0.0005053421888535952	0.0	1.0	1.0
GO:0050886	endocrine process	1	96	0.0005790387955993051	0.0004950290829586238	1.1697066203435629	0.5763959040794862	1.0
GO:0001618	virus receptor activity	5	94	0.0028951939779965257	0.0004847159770636525	5.972969976222449	0.0015883567994425503	0.05440122038090735
GO:0016209	antioxidant activity	2	93	0.0011580775911986102	0.00047955942411616684	2.4148781839350977	0.20108085344754414	0.774566143042469
GO:0044183	protein folding chaperone	11	75	0.006369426751592357	0.00038674147106142486	16.469469214437368	7.879062942637194e-11	5.397158115706478e-09
GO:0098631	cell adhesion mediator activity	0	72	0.0	0.00037127181221896787	0.0	1.0	1.0
GO:0140223	general transcription initiation factor activity	0	61	0.0	0.00031454972979662554	0.0	1.0	1.0
GO:0016073	snRNA metabolic process	1	59	0.0005790387955993051	0.00030423662390165424	1.903251450050543	0.4101278374885678	0.9523307412870134
GO:0140299	small molecule sensor activity	0	50	0.0	0.0002578276473742832	0.0	1.0	1.0
GO:0003016	respiratory system process	0	41	0.0	0.00021141867084691226	0.0	1.0	1.0
GO:0007031	peroxisome organization	0	40	0.0	0.0002062621178994266	0.0	1.0	1.0
GO:0140313	molecular sequestering activity	0	38	0.0	0.00019594901200445527	0.0	1.0	1.0
GO:0009975	cyclase activity	1	23	0.0005790387955993051	0.00011860071779217029	4.882253719694871	0.1859655791782885	0.774566143042469
GO:0071941	nitrogen cycle metabolic process	0	13	0.0	6.703518831731364e-05	0.0	1.0	1.0
GO:0031386	protein tag	2	13	0.0011580775911986102	6.703518831731364e-05	17.275667008151082	0.005792168592443679	0.11336101388068343
GO:0120274	virus coreceptor activity	0	1	0.0	5.1565529474856645e-06	0.0	1.0	1.0
GO:0007568	aging	0	1	0.0	5.1565529474856645e-06	0.0	1.0	1.0
GO:0071554	cell wall organization or biogenesis	0	1	0.0	5.1565529474856645e-06	0.0	1.0	1.0
