GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0005783	endoplasmic reticulum	28	844	0.0110803324099723	0.0038451200233258465	2.881660999593021	1.0159432788267283e-06	2.463662451154816e-05
GO:0009628	response to abiotic stimulus	52	800	0.020577760189948554	0.003644663529218812	5.6459972299168975	4.546095233653474e-23	4.4097123766438705e-21
GO:0005576	extracellular region	10	787	0.003957261574990107	0.0035854377468690062	1.1037038862118849	0.42060565987162624	1.0
GO:0006412	translation	3	777	0.001187178472497032	0.0035398794527537712	0.3353725708296345	0.9937577979936137	1.0
GO:0009605	response to external stimulus	7	758	0.002770083102493075	0.0034533186939348245	0.8021510170371073	0.7692022351459284	1.0
GO:0009719	response to endogenous stimulus	18	745	0.007123070834982192	0.0033940929115850184	2.0986670137016863	0.003051558888594679	0.049333535365613974
GO:0009607	response to biotic stimulus	6	619	0.002374356944994064	0.002820058405733056	0.8419531099664815	0.7170135253331043	1.0
GO:0000003	reproduction	10	613	0.003957261574990107	0.0027927234292639148	1.4169901442883417	0.17390824860950352	0.7667772779600837
GO:0065009	regulation of molecular function	10	541	0.003957261574990107	0.0024647037116342215	1.6055729361344797	0.09904240250015894	0.6004445651572136
GO:0005198	structural molecule activity	2	530	0.0007914523149980214	0.002414589588107463	0.3277792296033032	0.9845805466681761	1.0
GO:0009791	post-embryonic development	8	530	0.0031658092599920855	0.002414589588107463	1.3111169184132128	0.26924616401808227	1.0
GO:0007049	cell cycle	4	510	0.0015829046299960427	0.0023234729998769924	0.6812666340774537	0.8388419351137579	1.0
GO:0006259	DNA metabolic process	4	496	0.0015829046299960427	0.0022596913881156636	0.7004959342328656	0.8229308655823612	1.0
GO:0006091	generation of precursor metabolites and energy	11	491	0.004352987732489117	0.0022369122410580457	1.9459805586428285	0.02892390080127412	0.2552854206233769
GO:0030234	enzyme regulator activity	10	448	0.003957261574990107	0.0020410115763625346	1.9388726751088248	0.036845318440487385	0.2552854206233769
GO:0005773	vacuole	8	426	0.0031658092599920855	0.0019407833293090173	1.6312017999037625	0.12214965176603226	0.6582509011836183
GO:0005840	ribosome	1	420	0.0003957261574990107	0.0019134483528398763	0.2068130853449413	0.9923113305250503	1.0
GO:0030246	carbohydrate binding	4	375	0.0015829046299960427	0.0017084360293213182	0.926522622345337	0.6274991011460944	1.0
GO:0030312	external encapsulating structure	0	349	0.0	0.0015899844646217068	0.0	1.0	1.0
GO:0005618	cell wall	0	341	0.0	0.0015535378293295185	0.0	1.0	1.0
GO:0038023	signaling receptor activity	0	340	0.0	0.001548981999917995	0.0	1.0	1.0
GO:0009579	thylakoid	5	332	0.0019786307874950534	0.001512535364625807	1.3081550579047492	0.3362378220620749	1.0
GO:0005654	nucleoplasm	2	326	0.0007914523149980214	0.0014852003881566658	0.5328926125452476	0.8901399409007886	1.0
GO:0008289	lipid binding	7	295	0.002770083102493075	0.0013439696763994369	2.0611202403868725	0.05638269438023987	0.36460809032555114
GO:0009416	response to light stimulus	5	284	0.0019786307874950534	0.0012938555528726782	1.5292516874097772	0.23102494272037205	0.9337258101615037
GO:0005856	cytoskeleton	1	280	0.0003957261574990107	0.0012756322352265842	0.31021962801741193	0.9610039979753864	1.0
GO:0005768	endosome	0	276	0.0	0.0012574089175804901	0.0	1.0	1.0
GO:0030154	cell differentiation	1	276	0.0003957261574990107	0.0012574089175804901	0.31471556465534545	0.9591529111039058	1.0
GO:0019725	cellular homeostasis	7	263	0.002770083102493075	0.0011981831352306845	2.3119029312324235	0.03395014377583703	0.2552854206233769
GO:0005730	nucleolus	1	258	0.0003957261574990107	0.0011754039881730668	0.33667246451502075	0.9496741458521396	1.0
GO:0019748	secondary metabolic process	3	255	0.001187178472497032	0.0011617364999384962	1.0218999511161806	0.5636161391160212	1.0
GO:0004518	nuclease activity	0	247	0.0	0.0011252898646463081	0.0	1.0	1.0
GO:0009908	flower development	3	207	0.001187178472497032	0.0009430566881853676	1.2588622586213818	0.4264971524665611	1.0
GO:0015979	photosynthesis	6	200	0.002374356944994064	0.000911165882304703	2.6058448753462606	0.02920664770292343	0.2552854206233769
GO:0040007	growth	1	185	0.0003957261574990107	0.0008428284411318502	0.4695215991614884	0.8827076667841758	1.0
GO:0045182	translation regulator activity	1	156	0.0003957261574990107	0.0007107093881976684	0.5568044605440727	0.8358578644260382	1.0
GO:0003682	chromatin binding	0	152	0.0	0.0006924860705515743	0.0	1.0	1.0
GO:0008135	translation factor activity, RNA binding	1	141	0.0003957261574990107	0.0006423719470248156	0.6160389776232293	0.8046991749158013	1.0
GO:0005777	peroxisome	2	118	0.0007914523149980214	0.0005375878705597747	1.4722287431334806	0.39450788942282045	1.0
GO:0009790	embryo development	3	101	0.001187178472497032	0.000460138770563875	2.5800444310359016	0.1114697385833247	0.6360332142695586
GO:0005635	nuclear envelope	0	93	0.0	0.0004236921352716869	0.0	1.0	1.0
GO:0016049	cell growth	1	87	0.0003957261574990107	0.0003963571588025458	0.998407998216958	0.6349070119308438	1.0
GO:0003774	cytoskeletal motor activity	0	70	0.0	0.00031890805880664604	0.0	1.0	1.0
GO:0008219	cell death	3	61	0.001187178472497032	0.0002779055941029344	4.271876844829936	0.03347648720459407	0.2552854206233769
GO:0009606	tropism	0	57	0.0	0.00025968227645684034	0.0	1.0	1.0
GO:0040029	epigenetic regulation of gene expression	0	52	0.0	0.0002369031293992228	0.0	1.0	1.0
GO:0005764	lysosome	0	51	0.0	0.00023234729998769925	0.0	1.0	1.0
GO:0005102	signaling receptor binding	0	46	0.0	0.0002095681529300817	0.0	1.0	1.0
GO:0009856	pollination	1	46	0.0003957261574990107	0.0002095681529300817	1.8882933879320727	0.41298544094175	1.0
GO:0007623	circadian rhythm	0	38	0.0	0.00017312151763789358	0.0	1.0	1.0
GO:0007267	cell-cell signaling	0	12	0.0	5.466995293828218e-05	0.0	1.0	1.0
GO:0009838	abscission	0	10	0.0	4.555829411523515e-05	0.0	1.0	1.0
GO:0019825	oxygen binding	0	6	0.0	2.733497646914109e-05	0.0	1.0	1.0
GO:0009835	fruit ripening	0	2	0.0	9.11165882304703e-06	0.0	1.0	1.0
