Gene stable ID	Chromosome/scaffold name	start2 (bp)	end2 (bp)	HN-score(HN5)	organism	GOSlim GOA Accession(s)	GOSlim GOA Description	GOSlim_domain
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0031410	cytoplasmic vesicle	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0023052	signaling	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0001618	virus receptor activity	molecular_function
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0030163	protein catabolic process	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0002376	immune system process	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0048856	anatomical structure development	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0030154	cell differentiation	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:1901135	carbohydrate derivative metabolic process	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0055086	nucleobase-containing small molecule metabolic process	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0036211	protein modification process	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0065003	protein-containing complex assembly	biological_process
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0006457	protein folding	biological_process
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0043226	organelle	cellular_component
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0005634	nucleus	cellular_component
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0005829	cytosol	cellular_component
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0005730	nucleolus	cellular_component
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0140110	transcription regulator activity	molecular_function
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0005576	extracellular region	cellular_component
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0005615	extracellular space	cellular_component
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0044183	protein folding chaperone	molecular_function
ENSG00000132002	H_19	14514769	14560391	210	human	GO:0048856	anatomical structure development	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0043226	organelle	cellular_component
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0005634	nucleus	cellular_component
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0012501	programmed cell death	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0005829	cytosol	cellular_component
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0006457	protein folding	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0006886	intracellular protein transport	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0006913	nucleocytoplasmic transport	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0007018	microtubule-based movement	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0023052	signaling	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0140104	molecular carrier activity	molecular_function
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0006914	autophagy	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0048856	anatomical structure development	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0030163	protein catabolic process	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0007005	mitochondrion organization	biological_process
ENSG00000151929	H_10	119651380	119677819	181	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0003723	RNA binding	molecular_function
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0016071	mRNA metabolic process	biological_process
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0043226	organelle	cellular_component
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0005783	endoplasmic reticulum	cellular_component
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0003824	catalytic activity	molecular_function
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0016787	hydrolase activity	molecular_function
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0022414	reproductive process	biological_process
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0140098	catalytic activity, acting on RNA	molecular_function
ENSG00000146453	H_6	159800249	159820704	175	human	GO:0048856	anatomical structure development	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005198	structural molecule activity	molecular_function
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0043226	organelle	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005634	nucleus	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005773	vacuole	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005764	lysosome	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005576	extracellular region	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005615	extracellular space	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0003012	muscle system process	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0006457	protein folding	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0012501	programmed cell death	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0008092	cytoskeletal protein binding	molecular_function
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0048856	anatomical structure development	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0065003	protein-containing complex assembly	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0007010	cytoskeleton organization	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0023052	signaling	biological_process
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005739	mitochondrion	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005829	cytosol	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005886	plasma membrane	cellular_component
ENSG00000109846	H_11	111908564	111923722	173	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0140657	ATP-dependent activity	molecular_function
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0044183	protein folding chaperone	molecular_function
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0043226	organelle	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0005634	nucleus	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0005829	cytosol	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0008092	cytoskeletal protein binding	molecular_function
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0006457	protein folding	biological_process
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0005576	extracellular region	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0005615	extracellular space	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0031410	cytoplasmic vesicle	cellular_component
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0002376	immune system process	biological_process
ENSG00000120694	H_13	31134973	31162388	167	human	GO:0007155	cell adhesion	biological_process
ENSG00000178381	H_7	1152071	1160759	165	human	GO:0043226	organelle	cellular_component
ENSG00000178381	H_7	1152071	1160759	165	human	GO:0005634	nucleus	cellular_component
ENSG00000178381	H_7	1152071	1160759	165	human	GO:0030163	protein catabolic process	biological_process
ENSG00000178381	H_7	1152071	1160759	165	human	GO:0005783	endoplasmic reticulum	cellular_component
ENSG00000178381	H_7	1152071	1160759	165	human	GO:0006886	intracellular protein transport	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0003677	DNA binding	molecular_function
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0140110	transcription regulator activity	molecular_function
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0043226	organelle	cellular_component
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0005634	nucleus	cellular_component
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0005783	endoplasmic reticulum	cellular_component
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0005829	cytosol	cellular_component
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0005694	chromosome	cellular_component
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0006954	inflammatory response	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0023052	signaling	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0050877	nervous system process	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0048856	anatomical structure development	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0022414	reproductive process	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0002376	immune system process	biological_process
ENSG00000170345	H_14	75278826	75282230	165	human	GO:0030154	cell differentiation	biological_process
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0003824	catalytic activity	molecular_function
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0016787	hydrolase activity	molecular_function
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0003924	GTPase activity	molecular_function
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0055085	transmembrane transport	biological_process
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0005886	plasma membrane	cellular_component
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0005829	cytosol	cellular_component
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0023052	signaling	biological_process
ENSG00000166592	H_16	66921685	66925535	155	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0002376	immune system process	biological_process
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0023052	signaling	biological_process
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0005576	extracellular region	cellular_component
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0005615	extracellular space	cellular_component
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0048018	receptor ligand activity	molecular_function
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0005886	plasma membrane	cellular_component
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0012501	programmed cell death	biological_process
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0006954	inflammatory response	biological_process
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0048856	anatomical structure development	biological_process
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0098542	defense response to other organism	biological_process
ENSG00000226979	H_6	31572054	31574324	154	human	GO:0030154	cell differentiation	biological_process
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0140657	ATP-dependent activity	molecular_function
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0044183	protein folding chaperone	molecular_function
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0005829	cytosol	cellular_component
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0043226	organelle	cellular_component
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0005634	nucleus	cellular_component
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0006457	protein folding	biological_process
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0022414	reproductive process	biological_process
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0005739	mitochondrion	cellular_component
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0005576	extracellular region	cellular_component
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0005615	extracellular space	cellular_component
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0003824	catalytic activity	molecular_function
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0016787	hydrolase activity	molecular_function
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0006886	intracellular protein transport	biological_process
ENSG00000204390	H_6	31809619	31815283	150	human	GO:0007005	mitochondrion organization	biological_process
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0043226	organelle	cellular_component
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0005634	nucleus	cellular_component
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0005829	cytosol	cellular_component
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0005886	plasma membrane	cellular_component
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0006457	protein folding	biological_process
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000162616	H_1	77979175	78017964	149	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0012501	programmed cell death	biological_process
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0043226	organelle	cellular_component
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0005634	nucleus	cellular_component
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0003677	DNA binding	molecular_function
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0005730	nucleolus	cellular_component
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0023052	signaling	biological_process
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000160570	H_19	42198598	42220140	143	human	GO:0060090	molecular adaptor activity	molecular_function
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0048018	receptor ligand activity	molecular_function
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0023052	signaling	biological_process
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0005576	extracellular region	cellular_component
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0030154	cell differentiation	biological_process
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0048856	anatomical structure development	biological_process
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0005615	extracellular space	cellular_component
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0036211	protein modification process	biological_process
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0002376	immune system process	biological_process
ENSG00000119630	H_14	74941834	74955626	141	human	GO:0048870	cell motility	biological_process
ENSG00000162783	H_1	181088700	181092900	140	human	GO:0043226	organelle	cellular_component
ENSG00000162783	H_1	181088700	181092900	140	human	GO:0005634	nucleus	cellular_component
ENSG00000162783	H_1	181088700	181092900	140	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000162783	H_1	181088700	181092900	140	human	GO:0005730	nucleolus	cellular_component
ENSG00000162783	H_1	181088700	181092900	140	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000162783	H_1	181088700	181092900	140	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000188536	H_16	172876	173710	139	human	GO:0005829	cytosol	cellular_component
ENSG00000188536	H_16	172876	173710	139	human	GO:0005576	extracellular region	cellular_component
ENSG00000188536	H_16	172876	173710	139	human	GO:0005615	extracellular space	cellular_component
ENSG00000188536	H_16	172876	173710	139	human	GO:0098754	detoxification	biological_process
ENSG00000188536	H_16	172876	173710	139	human	GO:0140104	molecular carrier activity	molecular_function
ENSG00000188536	H_16	172876	173710	139	human	GO:0043226	organelle	cellular_component
ENSG00000188536	H_16	172876	173710	139	human	GO:0016491	oxidoreductase activity	molecular_function
ENSG00000188536	H_16	172876	173710	139	human	GO:0003824	catalytic activity	molecular_function
ENSG00000188536	H_16	172876	173710	139	human	GO:0016209	antioxidant activity	molecular_function
ENSG00000188536	H_16	172876	173710	139	human	GO:0031410	cytoplasmic vesicle	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0003824	catalytic activity	molecular_function
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0140096	catalytic activity, acting on a protein	molecular_function
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0016853	isomerase activity	molecular_function
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0043226	organelle	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0005634	nucleus	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0003723	RNA binding	molecular_function
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0005829	cytosol	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0005739	mitochondrion	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0005576	extracellular region	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0005615	extracellular space	cellular_component
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0006457	protein folding	biological_process
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0048856	anatomical structure development	biological_process
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0030154	cell differentiation	biological_process
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0060090	molecular adaptor activity	molecular_function
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0008092	cytoskeletal protein binding	molecular_function
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0065003	protein-containing complex assembly	biological_process
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0022414	reproductive process	biological_process
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0023052	signaling	biological_process
ENSG00000004478	H_12	2794970	2805423	129	human	GO:0007010	cytoskeleton organization	biological_process
ENSG00000261857	H_19	40771648	40777490	127	human	GO:0023052	signaling	biological_process
ENSG00000261857	H_19	40771648	40777490	127	human	GO:0005576	extracellular region	cellular_component
ENSG00000261857	H_19	40771648	40777490	127	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000261857	H_19	40771648	40777490	127	human	GO:0048018	receptor ligand activity	molecular_function
ENSG00000261857	H_19	40771648	40777490	127	human	GO:0030198	extracellular matrix organization	biological_process
ENSG00000261857	H_19	40771648	40777490	127	human	GO:0005615	extracellular space	cellular_component
ENSG00000112773	H_6	81491439	81752774	127	human	GO:0003824	catalytic activity	molecular_function
ENSG00000112773	H_6	81491439	81752774	127	human	GO:0016740	transferase activity	molecular_function
ENSG00000112773	H_6	81491439	81752774	127	human	GO:0003723	RNA binding	molecular_function
ENSG00000112773	H_6	81491439	81752774	127	human	GO:0016071	mRNA metabolic process	biological_process
ENSG00000112773	H_6	81491439	81752774	127	human	GO:0048856	anatomical structure development	biological_process
ENSG00000112773	H_6	81491439	81752774	127	human	GO:0030154	cell differentiation	biological_process
ENSG00000184378	H_3	169766921	169769561	126	human	GO:0043226	organelle	cellular_component
ENSG00000184378	H_3	169766921	169769561	126	human	GO:0005634	nucleus	cellular_component
ENSG00000184378	H_3	169766921	169769561	126	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000116741	H_1	192809039	192812275	122	human	GO:0043226	organelle	cellular_component
ENSG00000116741	H_1	192809039	192812275	122	human	GO:0005634	nucleus	cellular_component
ENSG00000116741	H_1	192809039	192812275	122	human	GO:0005829	cytosol	cellular_component
