GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment
GO:0006914	autophagy	16.0	1691	0.0033003300330033004	0.0029084917294603897	1.134722165297547
GO:0006091	generation of precursor metabolites and energy	8.0	1644	0.0016501650165016502	0.002827652515217552	0.5835812595858126
GO:0007005	mitochondrion organization	18.0	1567	0.0037128712871287127	0.0026952138025218395	1.3775795017280923
GO:0003924	GTPase activity	8.0	1518	0.0016501650165016502	0.002610934621715477	0.6320208107767299
GO:0003013	circulatory system process	46.0	1512	0.009488448844884489	0.002600614722024902	3.6485407717359037
GO:0048018	receptor ligand activity	33.0	1432	0.006806930693069307	0.002463016059483902	2.7636566423751314
GO:0005840	ribosome	1.0	1398	0.00020627062706270627	0.0024045366279039767	0.08578394051851537
GO:0140097	catalytic activity, acting on DNA	0.0	1367	0.0	0.0023512171461693393	0.0
GO:0030312	external encapsulating structure	16.0	1358	0.0033003300330033004	0.0023357372966334765	1.4129714149618204
GO:0031012	extracellular matrix	16.0	1357	0.0033003300330033004	0.0023340173133517142	1.4140126613987853
GO:0055065	metal ion homeostasis	0.0	1327	0.0	0.002282417814898839	0.0
GO:0044782	cilium organization	3.0	1318	0.0006188118811881188	0.0022669379653629767	0.2729725694496612
GO:0007018	microtubule-based movement	17.0	1309	0.0035066006600660065	0.002251458115827114	1.5574798551283702
GO:0006520	cellular amino acid metabolic process	12.0	1272	0.0024752475247524753	0.0021878187344019015	1.1313768758951368
GO:0042060	wound healing	15.0	1212	0.003094059405940594	0.0020846197374961516	1.4842320401594615
GO:0007059	chromosome segregation	4.0	1197	0.0008250825082508251	0.002058819988269714	0.40075505044238763
GO:0003012	muscle system process	49.0	1174	0.010107260726072606	0.0020192603727891764	5.0054271664389605
GO:0006399	tRNA metabolic process	0.0	1105	0.0	0.001900581526347564	0.0
GO:0006913	nucleocytoplasmic transport	13.0	1075	0.0026815181518151814	0.0018489820278946888	1.4502672883567427
GO:0031047	gene silencing by RNA	4.0	1050	0.0008250825082508251	0.0018059824458506264	0.45686075750432187
GO:0006310	DNA recombination	12.0	1022	0.0024752475247524753	0.0017578229139612763	1.4081324717598962
GO:0016874	ligase activity	0.0	1015	0.0	0.0017457830309889387	0.0
GO:0006790	sulfur compound metabolic process	2.0	1010	0.00041254125412541255	0.0017371831145801262	0.23747712642551386
GO:0051604	protein maturation	15.0	986	0.003094059405940594	0.0016959035158178263	1.8244312704597032
GO:0140014	mitotic nuclear division	8.0	967	0.0016501650165016502	0.0016632238334643387	0.9921484909607817
GO:0006260	DNA replication	2.0	946	0.00041254125412541255	0.0016271041845473263	0.25354323223019976
GO:0006486	protein glycosylation	7.0	918	0.0014438943894389438	0.0015789446526579762	0.9144680195143697
GO:0016829	lyase activity	6.0	912	0.0012376237623762376	0.0015686247529674011	0.7889865055584506
GO:0006457	protein folding	86.0	872	0.01773927392739274	0.0014998254216969011	11.827559175068883
GO:0016853	isomerase activity	14.0	868	0.0028877887788778876	0.001492945488569851	1.9342894974981368
GO:0042254	ribosome biogenesis	1.0	864	0.00020627062706270627	0.001486065555442801	0.13880318153343113
GO:0072659	protein localization to plasma membrane	1.0	791	0.00020627062706270627	0.0013605067758741384	0.1516130832425847
GO:0045182	translation regulator activity	1.0	781	0.00020627062706270627	0.0013433069430565136	0.15355435191406464
GO:0042393	histone binding	1.0	756	0.00020627062706270627	0.001300307361012451	0.15863220746677842
GO:0030198	extracellular matrix organization	10.0	727	0.0020627062706270625	0.0012504278458413385	1.6496003967659487
GO:0000228	nuclear chromosome	2.0	700	0.00041254125412541255	0.0012039882972337509	0.34264556812824143
GO:0032200	telomere organization	4.0	646	0.0008250825082508251	0.0011111092000185758	0.7425755346432477
GO:0007163	establishment or maintenance of cell polarity	4.0	640	0.0008250825082508251	0.0011007893003280008	0.7495371802805281
GO:0000910	cytokinesis	0.0	634	0.0	0.0010904694006374257	0.0
GO:0003774	cytoskeletal motor activity	0.0	609	0.0	0.0010474698185933633	0.0
GO:0002181	cytoplasmic translation	0.0	509	0.0	0.0008754714904171131	0.0
GO:0006575	cellular modified amino acid metabolic process	0.0	509	0.0	0.0008754714904171131	0.0
GO:0140013	meiotic nuclear division	4.0	498	0.0008250825082508251	0.0008565516743177257	0.9632606332922449
GO:0005777	peroxisome	1.0	497	0.00020627062706270627	0.0008548316910359632	0.24129969586495872
GO:0140053	mitochondrial gene expression	1.0	374	0.00020627062706270627	0.0006432737473791755	0.32065761723231145
GO:0005811	lipid droplet	0.0	348	0.0	0.0005985541820533504	0.0
GO:0098754	detoxification	2.0	346	0.00041254125412541255	0.0005951142154898254	0.6932135771380606
GO:0038024	cargo receptor activity	0.0	328	0.0	0.0005641545164181004	0.0
GO:0140104	molecular carrier activity	9.0	317	0.0018564356435643563	0.0005452347003187129	3.4048376643658056
GO:0140299	small molecule sensor activity	0.0	297	0.0	0.0005108350346834629	0.0
GO:0001618	virus receptor activity	7.0	290	0.0014438943894389438	0.0004987951517111253	2.894764282462729
GO:0006766	vitamin metabolic process	3.0	280	0.0006188118811881188	0.00048159531889350034	1.2849208804809054
GO:0003014	renal system process	4.0	276	0.0008250825082508251	0.00047471538576645037	1.738057229636007
GO:0044183	protein folding chaperone	39.0	265	0.008044554455445545	0.0004557955696670628	17.649479263964135
GO:0016209	antioxidant activity	2.0	245	0.00041254125412541255	0.0004213959040318128	0.9789873375092611
GO:0007040	lysosome organization	0.0	240	0.0	0.0004127959876230003	0.0
GO:0098631	cell adhesion mediator activity	0.0	223	0.0	0.0003835562718330378	0.0
GO:0022600	digestive system process	2.0	215	0.00041254125412541255	0.00036979640557893777	1.115590221812879
GO:0140223	general transcription initiation factor activity	0.0	206	0.0	0.00035431655604307527	0.0
GO:0050886	endocrine process	2.0	187	0.00041254125412541255	0.0003216368736895877	1.2826304689292458
GO:0016073	snRNA metabolic process	2.0	165	0.00041254125412541255	0.0002837972414908127	1.4536478647864786
GO:0007031	peroxisome organization	0.0	126	0.0	0.00021671789350207515	0.0
GO:0009975	cyclase activity	3.0	89	0.0006188118811881188	0.00015307851207686262	4.042447713872511
GO:0140313	molecular sequestering activity	0.0	85	0.0	0.0001461985789498126	0.0
GO:0003016	respiratory system process	0.0	50	0.0	8.599916408812506e-05	0.0
GO:0071941	nitrogen cycle metabolic process	0.0	36	0.0	6.191939814345004e-05	0.0
GO:0031386	protein tag	5.0	36	0.0010313531353135313	6.191939814345004e-05	16.656381784011735
GO:0007568	aging	0.0	3	0.0	5.159949845287504e-06	0.0
GO:0071554	cell wall organization or biogenesis	0.0	3	0.0	5.159949845287504e-06	0.0
GO:0120274	virus coreceptor activity	0.0	1	0.0	1.7199832817625012e-06	0.0
