initial_alias,converted_alias,name,description,namespace
GPR183,ENSG00000169508,GPR183,G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SYNDIG1,ENSG00000101463,SYNDIG1,synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPP1R35,ENSG00000160813,PPP1R35,protein phosphatase 1 regulatory subunit 35 [Source:HGNC Symbol;Acc:HGNC:28320],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
H3C7,ENSG00000277775,H3C7,H3 clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4773],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
PALB2,ENSG00000083093,PALB2,partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LEO1,ENSG00000166477,LEO1,"LEO1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:30401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PATZ1,ENSG00000100105,PATZ1,POZ/BTB and AT hook containing zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13071],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PET117,ENSG00000232838,PET117,PET117 cytochrome c oxidase chaperone [Source:HGNC Symbol;Acc:HGNC:40045],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TP53INP1,ENSG00000164938,TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PRSS36,ENSG00000178226,PRSS36,serine protease 36 [Source:HGNC Symbol;Acc:HGNC:26906],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ETAA1,ENSG00000143971,ETAA1,ETAA1 activator of ATR kinase [Source:HGNC Symbol;Acc:HGNC:24648],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZBTB24,ENSG00000112365,ZBTB24,zinc finger and BTB domain containing 24 [Source:HGNC Symbol;Acc:HGNC:21143],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCDC188,ENSG00000234409,CCDC188,coiled-coil domain containing 188 [Source:HGNC Symbol;Acc:HGNC:51899],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ADGRF1,ENSG00000153292,ADGRF1,adhesion G protein-coupled receptor F1 [Source:HGNC Symbol;Acc:HGNC:18990],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RASSF7,ENSG00000099849,RASSF7,Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FGD3,ENSG00000127084,FGD3,"FYVE, RhoGEF and PH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16027]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
S100A1,ENSG00000160678,S100A1,S100 calcium binding protein A1 [Source:HGNC Symbol;Acc:HGNC:10486],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FADD,ENSG00000168040,FADD,Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GPR146,ENSG00000164849,GPR146,G protein-coupled receptor 146 [Source:HGNC Symbol;Acc:HGNC:21718],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DDX58,ENSG00000107201,RIGI,None,
CLPX,ENSG00000166855,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit X [Source:HGNC Symbol;Acc:HGNC:2088],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TRIM21,ENSG00000132109,TRIM21,tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RDH14,ENSG00000240857,RDH14,retinol dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:19979],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C16orf71,ENSG00000166246,DNAAF8,None,
PYCR3,ENSG00000104524,PYCR3,pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MBD4,ENSG00000129071,MBD4,"methyl-CpG binding domain 4, DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:6919]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CRYBG2,ENSG00000176092,CRYBG2,crystallin beta-gamma domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17295],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KDM4D,ENSG00000186280,KDM4D,lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TEX38,ENSG00000186118,TEX38,testis expressed 38 [Source:HGNC Symbol;Acc:HGNC:29589],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SYCE1L,ENSG00000205078,SYCE1L,synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TIGD5,ENSG00000179886,TIGD5,tigger transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:18336],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM18,ENSG00000151353,TMEM18,transmembrane protein 18 [Source:HGNC Symbol;Acc:HGNC:25257],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KBTBD3,ENSG00000182359,KBTBD3,kelch repeat and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22934],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CENPC,ENSG00000145241,CENPC,centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BEGAIN,ENSG00000183092,BEGAIN,brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IL2RG,ENSG00000147168,IL2RG,interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF627,ENSG00000198551,ZNF627,zinc finger protein 627 [Source:HGNC Symbol;Acc:HGNC:30570],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BMF,ENSG00000104081,BMF,Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
JMJD4,ENSG00000081692,JMJD4,jumonji domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25724],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ESPL1,ENSG00000135476,ESPL1,"extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
INMT-MINDY4,ENSG00000254959,INMT-MINDY4,INMT-MINDY4 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41995],"GENECARDS,HGNC,UNIPROT_GN"
TIFA,ENSG00000145365,TIFA,TRAF interacting protein with forkhead associated domain [Source:HGNC Symbol;Acc:HGNC:19075],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RTP3,ENSG00000163825,RTP3,receptor transporter protein 3 [Source:HGNC Symbol;Acc:HGNC:15572],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SYT12,ENSG00000173227,SYT12,synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GPR1,ENSG00000183671,CMKLR2,None,
TAB1,ENSG00000100324,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18157],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C1GALT1C1L,ENSG00000223658,C1GALT1C1L,C1GALT1 specific chaperone 1 like [Source:HGNC Symbol;Acc:HGNC:51617],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TBCEL-TECTA,ENSG00000285509,TBCEL-TECTA,TBCEL-TECTA readthrough [Source:HGNC Symbol;Acc:HGNC:54857],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM86A,ENSG00000151117,TMEM86A,transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPP1R3D,ENSG00000132825,PPP1R3D,protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ST3GAL1,ENSG00000008513,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCR1,ENSG00000163823,CCR1,C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
H3C1,ENSG00000275714,H3C1,H3 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4766],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CBY2,ENSG00000174015,CBY2,chibby family member 2 [Source:HGNC Symbol;Acc:HGNC:30720],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPRC1,ENSG00000148840,PPRC1,PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF775,ENSG00000196456,ZNF775,zinc finger protein 775 [Source:HGNC Symbol;Acc:HGNC:28501],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAMSTR,ENSG00000176909,MAMSTR,MEF2 activating motif and SAP domain containing transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:26689],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
POLA2,ENSG00000014138,POLA2,"DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZBTB45,ENSG00000119574,ZBTB45,zinc finger and BTB domain containing 45 [Source:HGNC Symbol;Acc:HGNC:23715],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GLCE,ENSG00000138604,GLCE,glucuronic acid epimerase [Source:HGNC Symbol;Acc:HGNC:17855],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SH3TC1,ENSG00000125089,SH3TC1,SH3 domain and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:26009],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SOWAHD,ENSG00000187808,SOWAHD,sosondowah ankyrin repeat domain family member D [Source:HGNC Symbol;Acc:HGNC:32960],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPARGC1B,ENSG00000155846,PPARGC1B,PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CEMP1,ENSG00000205923,CEMP1,cementum protein 1 [Source:HGNC Symbol;Acc:HGNC:32553],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
APOM,ENSG00000204444,APOM,apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCNF,ENSG00000162063,CCNF,cyclin F [Source:HGNC Symbol;Acc:HGNC:1591],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NOTCH2NLC,ENSG00000286219,NOTCH2NLC,notch 2 N-terminal like C [Source:HGNC Symbol;Acc:HGNC:53924],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DOLK,ENSG00000175283,DOLK,dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PSCA,ENSG00000167653,PSCA,prostate stem cell antigen [Source:HGNC Symbol;Acc:HGNC:9500],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM89,ENSG00000183396,TMEM89,transmembrane protein 89 [Source:HGNC Symbol;Acc:HGNC:32372],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PRR15L,ENSG00000167183,PRR15L,proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PCSK9,ENSG00000169174,PCSK9,proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
INSYN2B,ENSG00000204767,INSYN2B,inhibitory synaptic factor family member 2B [Source:HGNC Symbol;Acc:HGNC:37271],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RFESD,ENSG00000175449,RFESD,Rieske Fe-S domain containing [Source:HGNC Symbol;Acc:HGNC:29587],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF564,ENSG00000249709,ZNF564,zinc finger protein 564 [Source:HGNC Symbol;Acc:HGNC:31106],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LCMT2,ENSG00000168806,LCMT2,leucine carboxyl methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:17558],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
WNT5B,ENSG00000111186,WNT5B,Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLK4,ENSG00000142731,PLK4,polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IFIT5,ENSG00000152778,IFIT5,interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ALDH1B1,ENSG00000137124,ALDH1B1,aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLPP6,ENSG00000205808,PLPP6,phospholipid phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:23682],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ASB13,ENSG00000196372,ASB13,ankyrin repeat and SOCS box containing 13 [Source:HGNC Symbol;Acc:HGNC:19765],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HJURP,ENSG00000123485,HJURP,Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SSPN,ENSG00000123096,SSPN,sarcospan [Source:HGNC Symbol;Acc:HGNC:11322],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GPR68,ENSG00000119714,GPR68,G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AGFG2,ENSG00000106351,AGFG2,ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IMP3,ENSG00000177971,IMP3,IMP U3 small nucleolar ribonucleoprotein 3 [Source:HGNC Symbol;Acc:HGNC:14497],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FLI1,ENSG00000151702,FLI1,"Fli-1 proto-oncogene, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3749]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KLHDC7A,ENSG00000179023,KLHDC7A,kelch domain containing 7A [Source:HGNC Symbol;Acc:HGNC:26791],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TNS4,ENSG00000131746,TNS4,tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NAT2,ENSG00000156006,NAT2,N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF579,ENSG00000218891,ZNF579,zinc finger protein 579 [Source:HGNC Symbol;Acc:HGNC:26646],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ACCS,ENSG00000110455,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PCED1B,ENSG00000179715,PCED1B,PC-esterase domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28255],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RGS4,ENSG00000117152,RGS4,regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GGACT,ENSG00000134864,GGACT,gamma-glutamylamine cyclotransferase [Source:HGNC Symbol;Acc:HGNC:25100],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPATA2L,ENSG00000158792,SPATA2L,spermatogenesis associated 2 like [Source:HGNC Symbol;Acc:HGNC:28393],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CDCA8,ENSG00000134690,CDCA8,cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C14orf39,ENSG00000179008,C14orf39,chromosome 14 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:19849],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NDST2,ENSG00000166507,NDST2,N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PTPRCAP,ENSG00000213402,PTPRCAP,protein tyrosine phosphatase receptor type C associated protein [Source:HGNC Symbol;Acc:HGNC:9667],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CDCA4,ENSG00000170779,CDCA4,cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TRAV18,ENSG00000211798,TRAV18,T cell receptor alpha variable 18 [Source:HGNC Symbol;Acc:HGNC:12114],"GENECARDS,HGNC,UNIPROT_GN"
C14orf28,ENSG00000179476,C14orf28,chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NANP,ENSG00000170191,NANP,N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NUDT8,ENSG00000167799,NUDT8,nudix hydrolase 8 [Source:HGNC Symbol;Acc:HGNC:8055],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPOUT1,ENSG00000198917,SPOUT1,SPOUT domain containing methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26933],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BDKRB2,ENSG00000168398,BDKRB2,bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MAP10,ENSG00000212916,MAP10,microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EFNA4,ENSG00000243364,EFNA4,ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PRMT6,ENSG00000198890,PRMT6,protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PEDS1-UBE2V1,ENSG00000124208,PEDS1-UBE2V1,PEDS1-UBE2V1 readthrough [Source:HGNC Symbol;Acc:HGNC:33521],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
VPS33B,ENSG00000184056,VPS33B,VPS33B late endosome and lysosome associated [Source:HGNC Symbol;Acc:HGNC:12712],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
H2AC21,ENSG00000184270,H2AC21,H2A clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:20508],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FASTKD2,ENSG00000118246,FASTKD2,FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IER3,ENSG00000137331,IER3,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ADPRS,ENSG00000116863,ADPRS,ADP-ribosylserine hydrolase [Source:HGNC Symbol;Acc:HGNC:21304],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
D2HGDH,ENSG00000180902,D2HGDH,D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DHX35,ENSG00000101452,DHX35,DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GPR3,ENSG00000181773,GPR3,G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TADA1,ENSG00000152382,TADA1,transcriptional adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30631],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MUSTN1,ENSG00000272573,MUSTN1,"musculoskeletal, embryonic nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:22144]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CRY2,ENSG00000121671,CRY2,cryptochrome circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:2385],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DGAT2,ENSG00000062282,DGAT2,diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SH3BP4,ENSG00000130147,SH3BP4,SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
