GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0003677	DNA binding	21	2131	0.05398457583547558	0.09020869491597172	0.5984409361621021	0.9972422224911985	1.0
GO:0005886	plasma membrane	13	2077	0.033419023136246784	0.08792278711425305	0.38009512929588724	0.9999950666915699	1.0
GO:0009056	catabolic process	21	1852	0.05398457583547558	0.07839817127375863	0.688594835292354	0.976314609435352	1.0
GO:0016301	kinase activity	9	1694	0.02313624678663239	0.07170977437243364	0.3226372832589238	0.999995110729215	1.0
GO:0007154	cell communication	17	1495	0.043701799485861184	0.06328578080684079	0.6905468958224072	0.9619148925510206	1.0
GO:0042221	response to chemical	53	1489	0.13624678663239073	0.06303179105109427	2.161556642455988	1.0072129856862168e-07	3.256655320385434e-06
GO:0009536	plastid	20	1428	0.05141388174807198	0.060449561867671336	0.8505253000943308	0.8034325156188796	1.0
GO:0005215	transporter activity	10	1418	0.02570694087403599	0.06002624560809381	0.4282616814297265	0.9995534691035228	1.0
GO:0007165	signal transduction	17	1417	0.043701799485861184	0.05998391398213605	0.7285586515557507	0.9350513732686825	1.0
GO:0009507	chloroplast	20	1360	0.05141388174807198	0.057571011302544134	0.8930515650990473	0.7312107343443921	1.0
GO:0005829	cytosol	26	1319	0.06683804627249357	0.05583541463827626	1.197054713491369	0.19720517801361537	1.0
GO:0003723	RNA binding	10	1306	0.02570694087403599	0.05528510350082547	0.4649885637575438	0.9984707556090989	1.0
GO:0140110	transcription regulator activity	18	1214	0.04627249357326478	0.05139059391271219	0.900407838287672	0.7102012997390682	1.0
GO:0048856	anatomical structure development	13	1156	0.033419023136246784	0.04893535960716251	0.682921785075742	0.9461931443117847	1.0
GO:0005975	carbohydrate metabolic process	12	1103	0.030848329048843187	0.0466917834314016	0.6606800336544175	0.954132589325674	1.0
GO:0003700	DNA-binding transcription factor activity	15	1088	0.038560411311053984	0.0460568090420353	0.8372358422803569	0.7946906291897268	1.0
GO:0005739	mitochondrion	14	1068	0.03598971722365039	0.045210176522880244	0.7960534550321097	0.8432838619003965	1.0
GO:0006629	lipid metabolic process	6	990	0.015424164524421594	0.04190830969817551	0.3680454934953649	0.9991269540362517	1.0
GO:0007275	multicellular organism development	12	967	0.030848329048843187	0.04093468230114719	0.7535988388012642	0.876400442540426	1.0
GO:0005794	Golgi apparatus	3	850	0.007712082262210797	0.03598188206409008	0.21433237562377136	0.9999289171029877	1.0
GO:0005783	endoplasmic reticulum	28	844	0.07197943444730077	0.03572789230834356	2.014656611313491	0.00038710973646085607	0.00938741110917576
GO:0009628	response to abiotic stimulus	52	800	0.13367609254498714	0.03386530076620243	3.947287917737789	2.537197816975723e-17	2.461081882466451e-15
GO:0005576	extracellular region	10	787	0.02570694087403599	0.03331498962875164	0.7716328643803714	0.8381468268430821	1.0
GO:0006412	translation	3	777	0.007712082262210797	0.03289167336917411	0.23446913678276146	0.9997901370329197	1.0
GO:0009605	response to external stimulus	7	758	0.017994858611825194	0.0320873724759768	0.5608081068432013	0.9681612661216684	1.0
GO:0009719	response to endogenous stimulus	18	745	0.04627249357326478	0.03153706133852601	1.4672417660150792	0.06894210048931317	1.0
GO:0009607	response to biotic stimulus	6	619	0.015424164524421594	0.02620327646784913	0.5886349572866095	0.9436499855748601	1.0
GO:0000003	reproduction	10	613	0.02570694087403599	0.02594928671210261	0.9906607899956806	0.5567081177042048	1.0
GO:0065009	regulation of molecular function	10	541	0.02570694087403599	0.022901409643144393	1.1225047398657158	0.40028157651818685	1.0
GO:0005198	structural molecule activity	2	530	0.005141388174807198	0.02243576175760911	0.22916040161032156	0.9986265860267575	1.0
GO:0009791	post-embryonic development	8	530	0.02056555269922879	0.02243576175760911	0.9166416064412862	0.6474499236914687	1.0
GO:0007049	cell cycle	4	510	0.010282776349614395	0.02158912923845405	0.4762941680528252	0.9699514063634183	1.0
GO:0006259	DNA metabolic process	4	496	0.010282776349614395	0.020996486475045508	0.4897379550543162	0.9646385053476523	1.0
GO:0006091	generation of precursor metabolites and energy	11	491	0.028277634961439587	0.02078482834525674	1.3604940340001779	0.18898081274353673	1.0
GO:0030234	enzyme regulator activity	10	448	0.02570694087403599	0.01896456842907336	1.3555246970253396	0.20644142027849996	1.0
GO:0005773	vacuole	8	426	0.02056555269922879	0.018033272658002794	1.1404226559011308	0.40352176255953764	1.0
GO:0005840	ribosome	1	420	0.002570694087403599	0.017779282902256277	0.1445893010160362	0.9991210963083593	1.0
GO:0030246	carbohydrate binding	4	375	0.010282776349614395	0.01587435973415739	0.6477600685518423	0.8679506815585482	1.0
GO:0030312	external encapsulating structure	0	349	0.0	0.01477373745925581	0.0	1.0	1.0
GO:0005618	cell wall	0	341	0.0	0.014435084451593786	0.0	1.0	1.0
GO:0038023	signaling receptor activity	0	340	0.0	0.014392752825636033	0.0	1.0	1.0
GO:0009579	thylakoid	5	332	0.012853470437017995	0.014054099817974008	0.9145708799207112	0.640866933937386	1.0
GO:0005654	nucleoplasm	2	326	0.005141388174807198	0.01380011006222749	0.37256138912107495	0.9719445881485017	1.0
GO:0008289	lipid binding	7	295	0.017994858611825194	0.012487829657537145	1.4409916779225307	0.21493426346361122	1.0
GO:0009416	response to light stimulus	5	284	0.012853470437017995	0.012022181772001863	1.0691462399073102	0.5028515751644846	1.0
GO:0005856	cytoskeleton	1	280	0.002570694087403599	0.01185285526817085	0.21688395152405432	0.9906935834852888	1.0
GO:0005768	endosome	0	276	0.0	0.011683528764339838	0.0	1.0	1.0
GO:0030154	cell differentiation	1	276	0.002570694087403599	0.011683528764339838	0.22002719719831598	0.990046576013452	1.0
GO:0019725	cellular homeostasis	7	263	0.017994858611825194	0.011133217626889048	1.6163214638294545	0.14508558440851463	1.0
GO:0005730	nucleolus	1	258	0.002570694087403599	0.010921559497100284	0.2353779318865706	0.9865331752799539	1.0
GO:0019748	secondary metabolic process	3	255	0.007712082262210797	0.010794564619227025	0.7144412520792378	0.7936221867861682	1.0
GO:0004518	nuclease activity	0	247	0.0	0.010455911611565	0.0	1.0	1.0
GO:0009908	flower development	3	207	0.007712082262210797	0.008762646573254878	0.880108788793264	0.665363056067791	1.0
GO:0015979	photosynthesis	6	200	0.015424164524421594	0.008466325191550607	1.8218251928020566	0.11374952498603177	1.0
GO:0040007	growth	1	185	0.002570694087403599	0.007831350802184311	0.32825679149586606	0.9542188722752543	1.0
GO:0045182	translation regulator activity	1	156	0.002570694087403599	0.006603733649409474	0.38927888735086674	0.925640584923572	1.0
GO:0003682	chromatin binding	0	152	0.0	0.006434407145578461	0.0	1.0	1.0
GO:0008135	translation factor activity, RNA binding	1	141	0.002570694087403599	0.0059687592600431785	0.43069153494138446	0.9044590373424112	1.0
GO:0005777	peroxisome	2	118	0.005141388174807198	0.004995131863014858	1.0292797699446647	0.5812067994787347	1.0
GO:0009790	embryo development	3	101	0.007712082262210797	0.004275494221733057	1.8037873196059966	0.23214318672906556	1.0
GO:0005635	nuclear envelope	0	93	0.0	0.0039368412140710326	0.0	1.0	1.0
GO:0016049	cell growth	1	87	0.002570694087403599	0.003682851458324514	0.69801731524983	0.7647752519456823	1.0
GO:0003774	cytoskeletal motor activity	0	70	0.0	0.0029632138170427127	0.0	1.0	1.0
GO:0008219	cell death	3	61	0.007712082262210797	0.0025822291834229354	2.986598676724683	0.07935103541491598	1.0
GO:0009606	tropism	0	57	0.0	0.0024129026795919233	0.0	1.0	1.0
GO:0040029	epigenetic regulation of gene expression	0	52	0.0	0.002201244549803158	0.0	1.0	1.0
GO:0005764	lysosome	0	51	0.0	0.002158912923845405	0.0	1.0	1.0
GO:0005102	signaling receptor binding	0	46	0.0	0.0019472547940566397	0.0	1.0	1.0
GO:0009856	pollination	1	46	0.002570694087403599	0.0019472547940566397	1.320163183189896	0.534443898974286	1.0
GO:0007623	circadian rhythm	0	38	0.0	0.0016086017863946153	0.0	1.0	1.0
GO:0007267	cell-cell signaling	0	12	0.0	0.0005079795114930365	0.0	1.0	1.0
GO:0009838	abscission	0	10	0.0	0.0004233162595775304	0.0	1.0	1.0
GO:0019825	oxygen binding	0	6	0.0	0.00025398975574651825	0.0	1.0	1.0
GO:0009835	fruit ripening	0	2	0.0	8.466325191550607e-05	0.0	1.0	1.0
