Gene stable ID	Chromosome/scaffold name	Gene start(bp)	Gene end(bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	HN-score(HN5)
Os11g0661600	11	26572255	26574116	GO:0005576	extracellular region	-40
Os11g0661600	11	26572255	26574116	GO:0042221	response to chemical	-40
Os11g0661600	11	26572255	26574116	GO:0003674	molecular_function	-40
Os05g0458600	5	22533536	22536087	GO:0005488	binding	-40
Os05g0458600	5	22533536	22536087	GO:0005575	cellular_component	-40
Os01g0695800	1	28786544	28787701	GO:0008150	biological_process	-40
Os11g0439600	11	14390405	14398122	GO:0016020	membrane	-40
Os01g0695800	1	28786544	28787701	GO:0009987	cellular process	-40
Os02g0508801	2	18181861	18182118	GO:0016020	membrane	-40
Os02g0508801	2	18181861	18182118	GO:0005575	cellular_component	-40
Os11g0439600	11	14390405	14398122	GO:0003824	catalytic activity	-40
Os11g0439600	11	14390405	14398122	GO:0016787	hydrolase activity	-40
Os11g0439600	11	14390405	14398122	GO:0005488	binding	-40
Os11g0439600	11	14390405	14398122	GO:0000166	nucleotide binding	-40
Os11g0439600	11	14390405	14398122	GO:0005575	cellular_component	-40
Os11g0439600	11	14390405	14398122	GO:0008150	biological_process	-40
Os05g0458600	5	22533536	22536087	GO:0005576	extracellular region	-40
Os11g0439600	11	14390405	14398122	GO:0009987	cellular process	-40
Os11g0439600	11	14390405	14398122	GO:0008152	metabolic process	-40
Os11g0439600	11	14390405	14398122	GO:0009056	catabolic process	-40
Os11g0439600	11	14390405	14398122	GO:0006139	nucleobase-containing compound metabolic process	-40
Os05g0458600	5	22533536	22536087	GO:0009056	catabolic process	-40
Os05g0458600	5	22533536	22536087	GO:0008152	metabolic process	-40
Os05g0458600	5	22533536	22536087	GO:0009987	cellular process	-40
Os05g0458600	5	22533536	22536087	GO:0008150	biological_process	-40
Os06g0636700	6	25870258	25876328	GO:0016787	hydrolase activity	-40
Os11g0661600	11	26572255	26574116	GO:0003824	catalytic activity	-40
Os02g0706900	2	29224218	29226240	GO:0003824	catalytic activity	-40
Os03g0358800	3	13915940	13917546	GO:0005575	cellular_component	-40
Os06g0157900	6	2947702	2948085	GO:0006810	transport	-40
Os06g0157900	6	2947702	2948085	GO:0008289	lipid binding	-40
Os06g0157900	6	2947702	2948085	GO:0005488	binding	-40
Os06g0157900	6	2947702	2948085	GO:0003674	molecular_function	-40
Os02g0706900	2	29224218	29226240	GO:0016787	hydrolase activity	-40
Os02g0732800	2	30554630	30556339	GO:0016787	hydrolase activity	-40
Os02g0732800	2	30554630	30556339	GO:0003824	catalytic activity	-40
Os02g0732800	2	30554630	30556339	GO:0003674	molecular_function	-40
Os03g0332100	3	12235398	12249872	GO:0003674	molecular_function	-40
Os03g0332100	3	12235398	12249872	GO:0003824	catalytic activity	-40
Os03g0332100	3	12235398	12249872	GO:0005575	cellular_component	-40
Os03g0332100	3	12235398	12249872	GO:0016020	membrane	-40
Os03g0332100	3	12235398	12249872	GO:0005488	binding	-40
Os05g0577100	5	28743711	28744604	GO:0009606	tropism	-40
Os06g0157900	6	2947702	2948085	GO:0008150	biological_process	-40
Os03g0358800	3	13915940	13917546	GO:0003674	molecular_function	-40
Os03g0358800	3	13915940	13917546	GO:0003824	catalytic activity	-40
Os03g0358800	3	13915940	13917546	GO:0016740	transferase activity	-40
Os03g0358800	3	13915940	13917546	GO:0005622	intracellular anatomical structure	-40
Os07g0129300	7	1523654	1524512	GO:0005576	extracellular region	-41
Os02g0204400	2	5835504	5838694	GO:0007623	circadian rhythm	-41
Os02g0204400	2	5835504	5838694	GO:0005634	nucleus	-41
Os02g0204400	2	5835504	5838694	GO:0005737	cytoplasm	-41
Os02g0204400	2	5835504	5838694	GO:0005622	intracellular anatomical structure	-41
Os02g0204400	2	5835504	5838694	GO:0005575	cellular_component	-41
Os02g0204400	2	5835504	5838694	GO:0000166	nucleotide binding	-41
Os07g0129300	7	1523654	1524512	GO:0005575	cellular_component	-41
Os01g0971400	1	42855657	42857462	GO:0003824	catalytic activity	-41
Os07g0129300	7	1523654	1524512	GO:0009607	response to biotic stimulus	-41
Os02g0204400	2	5835504	5838694	GO:0003824	catalytic activity	-41
Os02g0204400	2	5835504	5838694	GO:0006139	nucleobase-containing compound metabolic process	-41
Os02g0204400	2	5835504	5838694	GO:0006259	DNA metabolic process	-41
Os02g0204400	2	5835504	5838694	GO:0008152	metabolic process	-41
Os02g0204400	2	5835504	5838694	GO:0006950	response to stress	-41
Os02g0204400	2	5835504	5838694	GO:0009987	cellular process	-41
Os02g0204400	2	5835504	5838694	GO:0009416	response to light stimulus	-41
Os07g0129300	7	1523654	1524512	GO:0008150	biological_process	-41
Os02g0204400	2	5835504	5838694	GO:0009605	response to external stimulus	-41
Os02g0204400	2	5835504	5838694	GO:0008150	biological_process	-41
Os04g0545600	4	27333724	27335203	GO:0003824	catalytic activity	-41
Os07g0292100	7	11340607	11341017	GO:0003824	catalytic activity	-41
Os07g0292100	7	11340607	11341017	GO:0005575	cellular_component	-41
Os07g0292100	7	11340607	11341017	GO:0016020	membrane	-41
Os07g0292100	7	11340607	11341017	GO:0005488	binding	-41
Os04g0545600	4	27333724	27335203	GO:0009987	cellular process	-41
Os04g0545600	4	27333724	27335203	GO:0008152	metabolic process	-41
Os04g0545600	4	27333724	27335203	GO:0006091	generation of precursor metabolites and energy	-41
Os04g0545600	4	27333724	27335203	GO:0003674	molecular_function	-41
Os05g0375400	5	18106229	18110985	GO:0016787	hydrolase activity	-41
Os05g0375400	5	18106229	18110985	GO:0003824	catalytic activity	-41
Os05g0375400	5	18106229	18110985	GO:0003674	molecular_function	-41
Os05g0375400	5	18106229	18110985	GO:0005975	carbohydrate metabolic process	-41
Os05g0375400	5	18106229	18110985	GO:0008152	metabolic process	-41
Os05g0375400	5	18106229	18110985	GO:0008150	biological_process	-41
Os05g0375400	5	18106229	18110985	GO:0016020	membrane	-41
Os05g0375400	5	18106229	18110985	GO:0005886	plasma membrane	-41
Os05g0375400	5	18106229	18110985	GO:0005575	cellular_component	-41
Os05g0355900	5	16874881	16876813	GO:0016020	membrane	-41
Os05g0355900	5	16874881	16876813	GO:0005575	cellular_component	-41
Os02g0204400	2	5835504	5838694	GO:0009628	response to abiotic stimulus	-41
Os02g0204400	2	5835504	5838694	GO:0005488	binding	-41
Os02g0204400	2	5835504	5838694	GO:0003677	DNA binding	-41
Os01g0971400	1	42855657	42857462	GO:0009056	catabolic process	-41
Os01g0940700	1	41346647	41348373	GO:0005886	plasma membrane	-41
Os01g0940700	1	41346647	41348373	GO:0016020	membrane	-41
Os01g0940700	1	41346647	41348373	GO:0008150	biological_process	-41
Os01g0940700	1	41346647	41348373	GO:0008152	metabolic process	-41
Os01g0940700	1	41346647	41348373	GO:0005975	carbohydrate metabolic process	-41
Os01g0940700	1	41346647	41348373	GO:0003674	molecular_function	-41
Os01g0940700	1	41346647	41348373	GO:0003824	catalytic activity	-41
Os01g0940700	1	41346647	41348373	GO:0016787	hydrolase activity	-41
Os07g0495150	7	18528508	18531797	GO:0019538	protein metabolic process	-41
Os01g0971400	1	42855657	42857462	GO:0005764	lysosome	-41
Os01g0971400	1	42855657	42857462	GO:0005773	vacuole	-41
Os01g0971400	1	42855657	42857462	GO:0005737	cytoplasm	-41
Os01g0971400	1	42855657	42857462	GO:0005622	intracellular anatomical structure	-41
Os01g0971400	1	42855657	42857462	GO:0016787	hydrolase activity	-41
Os01g0971400	1	42855657	42857462	GO:0019538	protein metabolic process	-41
Os01g0971400	1	42855657	42857462	GO:0005575	cellular_component	-41
Os01g0971400	1	42855657	42857462	GO:0005576	extracellular region	-41
Os01g0940700	1	41346647	41348373	GO:0005575	cellular_component	-41
Os01g0971400	1	42855657	42857462	GO:0008152	metabolic process	-41
Os02g0204400	2	5835504	5838694	GO:0003676	nucleic acid binding	-41
Os01g0971400	1	42855657	42857462	GO:0008150	biological_process	-41
Os01g0971400	1	42855657	42857462	GO:0003674	molecular_function	-41
Os02g0204400	2	5835504	5838694	GO:0003674	molecular_function	-41
Os06g0306300	6	11559570	11560896	GO:0005576	extracellular region	-41
Os06g0306300	6	11559570	11560896	GO:0005575	cellular_component	-41
Os06g0306300	6	11559570	11560896	GO:0009056	catabolic process	-41
Os06g0306300	6	11559570	11560896	GO:0008152	metabolic process	-41
Os06g0306300	6	11559570	11560896	GO:0009987	cellular process	-41
Os06g0306300	6	11559570	11560896	GO:0008150	biological_process	-41
Os07g0495150	7	18528508	18531797	GO:0003824	catalytic activity	-41
Os07g0495150	7	18528508	18531797	GO:0016740	transferase activity	-41
Os07g0495150	7	18528508	18531797	GO:0016301	kinase activity	-41
Os07g0495150	7	18528508	18531797	GO:0005488	binding	-41
Os07g0495150	7	18528508	18531797	GO:0000166	nucleotide binding	-41
Os07g0495150	7	18528508	18531797	GO:0008150	biological_process	-41
Os07g0495150	7	18528508	18531797	GO:0009987	cellular process	-41
Os07g0495150	7	18528508	18531797	GO:0008152	metabolic process	-41
Os07g0495150	7	18528508	18531797	GO:0036211	protein modification process	-41
Os07g0495150	7	18528508	18531797	GO:0003674	molecular_function	-41
Os07g0258100	7	8930095	8931923	GO:0016787	hydrolase activity	-41
Os07g0292100	7	11340607	11341017	GO:0003674	molecular_function	-41
Os02g0715000	2	29667743	29669572	GO:0003824	catalytic activity	-41
Os01g0265100	1	9019849	9024048	GO:0005575	cellular_component	-41
Os01g0265100	1	9019849	9024048	GO:0005886	plasma membrane	-41
Os01g0265100	1	9019849	9024048	GO:0016020	membrane	-41
Os01g0265100	1	9019849	9024048	GO:0005622	intracellular anatomical structure	-41
Os01g0265100	1	9019849	9024048	GO:0005737	cytoplasm	-41
Os02g0715000	2	29667743	29669572	GO:0003674	molecular_function	-41
Os01g0265100	1	9019849	9024048	GO:0005794	Golgi apparatus	-41
Os02g0715000	2	29667743	29669572	GO:0005773	vacuole	-41
Os01g0265100	1	9019849	9024048	GO:0016787	hydrolase activity	-41
Os02g0715000	2	29667743	29669572	GO:0016787	hydrolase activity	-41
Os01g0265100	1	9019849	9024048	GO:0008150	biological_process	-41
Os06g0306300	6	11559570	11560896	GO:0042221	response to chemical	-41
Os06g0306300	6	11559570	11560896	GO:0003674	molecular_function	-41
Os06g0306300	6	11559570	11560896	GO:0003824	catalytic activity	-41
Os06g0306300	6	11559570	11560896	GO:0030312	external encapsulating structure	-41
Os06g0306300	6	11559570	11560896	GO:0005618	cell wall	-41
Os06g0306300	6	11559570	11560896	GO:0005488	binding	-41
Os06g0306300	6	11559570	11560896	GO:0006950	response to stress	-41
Os02g0715000	2	29667743	29669572	GO:0005622	intracellular anatomical structure	-41
Os02g0715000	2	29667743	29669572	GO:0005737	cytoplasm	-41
Os01g0265100	1	9019849	9024048	GO:0009987	cellular process	-41
Os01g0265100	1	9019849	9024048	GO:0003824	catalytic activity	-41
Os01g0265100	1	9019849	9024048	GO:0006810	transport	-41
Os07g0258100	7	8930095	8931923	GO:0036211	protein modification process	-41
Os02g0715000	2	29667743	29669572	GO:0008150	biological_process	-41
Os02g0715000	2	29667743	29669572	GO:0008152	metabolic process	-41
Os02g0715000	2	29667743	29669572	GO:0009056	catabolic process	-41
Os04g0545600	4	27333724	27335203	GO:0008150	biological_process	-41
Os04g0545600	4	27333724	27335203	GO:0016020	membrane	-41
Os04g0545600	4	27333724	27335203	GO:0005886	plasma membrane	-41
Os01g0265100	1	9019849	9024048	GO:0000166	nucleotide binding	-41
Os04g0545600	4	27333724	27335203	GO:0005575	cellular_component	-41
Os07g0258100	7	8930095	8931923	GO:0019538	protein metabolic process	-41
Os02g0715000	2	29667743	29669572	GO:0005764	lysosome	-41
Os07g0258100	7	8930095	8931923	GO:0003824	catalytic activity	-41
Os02g0715000	2	29667743	29669572	GO:0005576	extracellular region	-41
Os01g0265100	1	9019849	9024048	GO:0005488	binding	-41
Os01g0265100	1	9019849	9024048	GO:0003674	molecular_function	-41
Os02g0715000	2	29667743	29669572	GO:0019538	protein metabolic process	-41
Os07g0258100	7	8930095	8931923	GO:0003674	molecular_function	-41
Os07g0258100	7	8930095	8931923	GO:0008152	metabolic process	-41
Os07g0258100	7	8930095	8931923	GO:0008150	biological_process	-41
Os02g0715000	2	29667743	29669572	GO:0005575	cellular_component	-41
Os10g0555700	10	21835933	21837651	GO:0005618	cell wall	-42
Os10g0555700	10	21835933	21837651	GO:0030312	external encapsulating structure	-42
Os10g0555700	10	21835933	21837651	GO:0016043	cellular component organization	-42
Os11g0312400	11	12136987	12141801	GO:0005622	intracellular anatomical structure	-42
Os11g0312400	11	12136987	12141801	GO:0000166	nucleotide binding	-42
Os11g0312400	11	12136987	12141801	GO:0005737	cytoplasm	-42
Os11g0312400	11	12136987	12141801	GO:0005739	mitochondrion	-42
Os11g0312400	11	12136987	12141801	GO:0009058	biosynthetic process	-42
Os11g0312400	11	12136987	12141801	GO:0005575	cellular_component	-42
Os11g0312400	11	12136987	12141801	GO:0006139	nucleobase-containing compound metabolic process	-42
Os11g0312400	11	12136987	12141801	GO:0005488	binding	-42
Os10g0555700	10	21835933	21837651	GO:0048856	anatomical structure development	-42
Os11g0312400	11	12136987	12141801	GO:0008152	metabolic process	-42
Os11g0312400	11	12136987	12141801	GO:0009987	cellular process	-42
Os11g0312400	11	12136987	12141801	GO:0008150	biological_process	-42
Os11g0312400	11	12136987	12141801	GO:0016301	kinase activity	-42
Os11g0312400	11	12136987	12141801	GO:0016740	transferase activity	-42
Os10g0555700	10	21835933	21837651	GO:0009987	cellular process	-42
Os11g0312400	11	12136987	12141801	GO:0003674	molecular_function	-42
Os04g0352200	4	16807387	16808257	GO:0009058	biosynthetic process	-42
Os04g0352200	4	16807387	16808257	GO:0008152	metabolic process	-42
Os04g0352200	4	16807387	16808257	GO:0009987	cellular process	-42
Os04g0352200	4	16807387	16808257	GO:0008150	biological_process	-42
Os11g0312400	11	12136987	12141801	GO:0003824	catalytic activity	-42
Os02g0833900	2	35875161	35876977	GO:0005576	extracellular region	-42
Os03g0225900	3	6608577	6610549	GO:0009058	biosynthetic process	-42
Os03g0225900	3	6608577	6610549	GO:0009987	cellular process	-42
Os10g0555700	10	21835933	21837651	GO:0005576	extracellular region	-42
Os10g0555700	10	21835933	21837651	GO:0005575	cellular_component	-42
Os03g0197200	3	5112964	5114038	GO:0006810	transport	-42
Os03g0197200	3	5112964	5114038	GO:0008150	biological_process	-42
Os03g0197200	3	5112964	5114038	GO:0009987	cellular process	-42
Os09g0547000	9	21604588	21605172	GO:0042221	response to chemical	-42
Os09g0547000	9	21604588	21605172	GO:0008150	biological_process	-42
Os03g0197200	3	5112964	5114038	GO:0005215	transporter activity	-42
Os03g0197200	3	5112964	5114038	GO:0003674	molecular_function	-42
Os03g0225900	3	6608577	6610549	GO:0006629	lipid metabolic process	-42
Os03g0225900	3	6608577	6610549	GO:0008152	metabolic process	-42
Os03g0225900	3	6608577	6610549	GO:0008150	biological_process	-42
Os03g0225900	3	6608577	6610549	GO:0003824	catalytic activity	-42
Os03g0225900	3	6608577	6610549	GO:0003674	molecular_function	-42
Os03g0197200	3	5112964	5114038	GO:0016020	membrane	-42
Os09g0547000	9	21604588	21605172	GO:0009719	response to endogenous stimulus	-42
Os09g0547000	9	21604588	21605172	GO:0006810	transport	-42
Os10g0555700	10	21835933	21837651	GO:0008150	biological_process	-42
Os03g0197200	3	5112964	5114038	GO:0005886	plasma membrane	-42
Os03g0225900	3	6608577	6610549	GO:0005488	binding	-42
Os02g0833900	2	35875161	35876977	GO:0008150	biological_process	-42
Os02g0833900	2	35875161	35876977	GO:0009987	cellular process	-42
Os02g0833900	2	35875161	35876977	GO:0008152	metabolic process	-42
Os02g0833900	2	35875161	35876977	GO:0009056	catabolic process	-42
Os02g0833900	2	35875161	35876977	GO:0005575	cellular_component	-42
Os02g0833900	2	35875161	35876977	GO:0042221	response to chemical	-42
Os10g0555700	10	21835933	21837651	GO:0000003	reproduction	-42
Os02g0833900	2	35875161	35876977	GO:0003674	molecular_function	-42
Os02g0833900	2	35875161	35876977	GO:0003824	catalytic activity	-42
Os02g0833900	2	35875161	35876977	GO:0030312	external encapsulating structure	-42
Os02g0833900	2	35875161	35876977	GO:0005618	cell wall	-42
Os02g0833900	2	35875161	35876977	GO:0006950	response to stress	-42
Os10g0555700	10	21835933	21837651	GO:0016020	membrane	-42
Os03g0197200	3	5112964	5114038	GO:0005575	cellular_component	-42
Os02g0833900	2	35875161	35876977	GO:0005488	binding	-42
Os01g0949800	1	41844012	41845305	GO:0042221	response to chemical	-42
Os01g0772100	1	32592931	32593952	GO:0009605	response to external stimulus	-42
Os01g0772100	1	32592931	32593952	GO:0005634	nucleus	-42
Os01g0772100	1	32592931	32593952	GO:0008150	biological_process	-42
Os01g0772100	1	32592931	32593952	GO:0009987	cellular process	-42
Os01g0772100	1	32592931	32593952	GO:0007154	cell communication	-42
Os01g0772100	1	32592931	32593952	GO:0007165	signal transduction	-42
Os01g0772100	1	32592931	32593952	GO:0042221	response to chemical	-42
Os01g0772100	1	32592931	32593952	GO:0009719	response to endogenous stimulus	-42
Os05g0499300	5	24583251	24584927	GO:0009056	catabolic process	-42
Os01g0772100	1	32592931	32593952	GO:0009607	response to biotic stimulus	-42
Os01g0772100	1	32592931	32593952	GO:0006950	response to stress	-42
Os01g0795200	1	33684778	33688225	GO:0019538	protein metabolic process	-42
Os01g0772100	1	32592931	32593952	GO:0008152	metabolic process	-42
Os01g0772100	1	32592931	32593952	GO:0009058	biosynthetic process	-42
Os01g0772100	1	32592931	32593952	GO:0006139	nucleobase-containing compound metabolic process	-42
Os01g0795200	1	33684778	33688225	GO:0005575	cellular_component	-42
Os01g0795200	1	33684778	33688225	GO:0005576	extracellular region	-42
Os01g0795200	1	33684778	33688225	GO:0003674	molecular_function	-42
Os01g0795200	1	33684778	33688225	GO:0003824	catalytic activity	-42
Os01g0795200	1	33684778	33688225	GO:0016787	hydrolase activity	-42
Os01g0795200	1	33684778	33688225	GO:0008150	biological_process	-42
Os01g0772100	1	32592931	32593952	GO:0005622	intracellular anatomical structure	-42
Os01g0772100	1	32592931	32593952	GO:0005575	cellular_component	-42
Os01g0696800	1	28835243	28836884	GO:0005576	extracellular region	-42
Os01g0696800	1	28835243	28836884	GO:0005575	cellular_component	-42
Os05g0499300	5	24583251	24584927	GO:0005576	extracellular region	-42
Os05g0499300	5	24583251	24584927	GO:0042221	response to chemical	-42
Os05g0499300	5	24583251	24584927	GO:0003674	molecular_function	-42
Os05g0499300	5	24583251	24584927	GO:0003824	catalytic activity	-42
Os05g0499300	5	24583251	24584927	GO:0030312	external encapsulating structure	-42
Os05g0499300	5	24583251	24584927	GO:0005618	cell wall	-42
Os05g0499300	5	24583251	24584927	GO:0005488	binding	-42
Os05g0499300	5	24583251	24584927	GO:0006950	response to stress	-42
Os05g0499300	5	24583251	24584927	GO:0008152	metabolic process	-42
Os05g0499300	5	24583251	24584927	GO:0009987	cellular process	-42
Os05g0499300	5	24583251	24584927	GO:0008150	biological_process	-42
Os01g0949800	1	41844012	41845305	GO:0005737	cytoplasm	-42
Os01g0696800	1	28835243	28836884	GO:0003674	molecular_function	-42
Os01g0696800	1	28835243	28836884	GO:0003824	catalytic activity	-42
Os01g0696800	1	28835243	28836884	GO:0016787	hydrolase activity	-42
Os01g0696800	1	28835243	28836884	GO:0008150	biological_process	-42
Os01g0696800	1	28835243	28836884	GO:0008152	metabolic process	-42
Os01g0696800	1	28835243	28836884	GO:0019538	protein metabolic process	-42
Os01g0696800	1	28835243	28836884	GO:0009056	catabolic process	-42
Os01g0795200	1	33684778	33688225	GO:0008152	metabolic process	-42
Os05g0499300	5	24583251	24584927	GO:0005575	cellular_component	-42
Os01g0949800	1	41844012	41845305	GO:0009987	cellular process	-42
Os01g0949800	1	41844012	41845305	GO:0005575	cellular_component	-42
Os12g0194900	12	4881038	4884876	GO:0005215	transporter activity	-42
Os12g0194900	12	4881038	4884876	GO:0009987	cellular process	-42
Os12g0194900	12	4881038	4884876	GO:0008150	biological_process	-42
Os12g0194900	12	4881038	4884876	GO:0006810	transport	-42
Os12g0194900	12	4881038	4884876	GO:0016020	membrane	-42
Os01g0949800	1	41844012	41845305	GO:0008152	metabolic process	-42
Os01g0949800	1	41844012	41845305	GO:0003674	molecular_function	-42
Os01g0949800	1	41844012	41845305	GO:0003824	catalytic activity	-42
Os01g0949800	1	41844012	41845305	GO:0016740	transferase activity	-42
Os12g0194900	12	4881038	4884876	GO:0003674	molecular_function	-42
Os12g0194900	12	4881038	4884876	GO:0005886	plasma membrane	-42
Os01g0949800	1	41844012	41845305	GO:0005622	intracellular anatomical structure	-42
Os12g0194900	12	4881038	4884876	GO:0005575	cellular_component	-42
Os01g0949800	1	41844012	41845305	GO:0008150	biological_process	-42
Os03g0634400	3	24226372	24227930	GO:0000166	nucleotide binding	-43
Os01g0248701	1	8191032	8192289	GO:0008150	biological_process	-43
Os01g0945300	1	41554884	41559339	GO:0005215	transporter activity	-43
Os10g0545500	10	21320574	21322000	GO:0008152	metabolic process	-43
Os01g0248701	1	8191032	8192289	GO:0016740	transferase activity	-43
Os01g0248701	1	8191032	8192289	GO:0003824	catalytic activity	-43
Os01g0248701	1	8191032	8192289	GO:0003674	molecular_function	-43
Os01g0248701	1	8191032	8192289	GO:0006629	lipid metabolic process	-43
Os01g0248701	1	8191032	8192289	GO:0009058	biosynthetic process	-43
Os01g0248701	1	8191032	8192289	GO:0008152	metabolic process	-43
Os01g0248701	1	8191032	8192289	GO:0009987	cellular process	-43
Os01g0945300	1	41554884	41559339	GO:0003674	molecular_function	-43
Os03g0634400	3	24226372	24227930	GO:0003824	catalytic activity	-43
Os03g0634400	3	24226372	24227930	GO:0005575	cellular_component	-43
Os01g0945300	1	41554884	41559339	GO:0005575	cellular_component	-43
Os03g0634400	3	24226372	24227930	GO:0005737	cytoplasm	-43
Os01g0945300	1	41554884	41559339	GO:0016020	membrane	-43
Os03g0634400	3	24226372	24227930	GO:0005634	nucleus	-43
Os03g0634400	3	24226372	24227930	GO:0005622	intracellular anatomical structure	-43
Os10g0545500	10	21320574	21322000	GO:0005975	carbohydrate metabolic process	-43
Os12g0441600	12	14750544	14752232	GO:0005737	cytoplasm	-43
Os04g0686000	4	35054571	35056161	GO:0019538	protein metabolic process	-43
Os12g0441600	12	14750544	14752232	GO:0005622	intracellular anatomical structure	-43
Os10g0545500	10	21320574	21322000	GO:0016043	cellular component organization	-43
Os10g0545500	10	21320574	21322000	GO:0005575	cellular_component	-43
Os03g0667500	3	26286254	26292018	GO:0009987	cellular process	-43
Os10g0144700	10	2709163	2711992	GO:0003674	molecular_function	-43
Os02g0644200	2	25909942	25910552	GO:0019725	cellular homeostasis	-43
Os02g0644200	2	25909942	25910552	GO:0016020	membrane	-43
Os02g0644200	2	25909942	25910552	GO:0005575	cellular_component	-43
Os02g0644200	2	25909942	25910552	GO:0009987	cellular process	-43
Os02g0644200	2	25909942	25910552	GO:0008150	biological_process	-43
Os02g0644200	2	25909942	25910552	GO:0006810	transport	-43
Os02g0644200	2	25909942	25910552	GO:0003674	molecular_function	-43
Os02g0644200	2	25909942	25910552	GO:0005215	transporter activity	-43
Os10g0144700	10	2709163	2711992	GO:0003824	catalytic activity	-43
Os10g0144700	10	2709163	2711992	GO:0005575	cellular_component	-43
Os03g0667500	3	26286254	26292018	GO:0006810	transport	-43
Os03g0667500	3	26286254	26292018	GO:0008150	biological_process	-43
Os03g0634400	3	24226372	24227930	GO:0016301	kinase activity	-43
