GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0005783	endoplasmic reticulum	21	2274	0.105	0.09002731699592224	1.1663126649076516	0.26130861796572963	0.6544634517875719
GO:0005730	nucleolus	13	2197	0.065	0.08697889861039629	0.7473076923076923	0.8954392330447114	1.0
GO:0012501	programmed cell death	26	2179	0.13	0.08626628132546815	1.5069619091326296	0.023180403928827285	0.19141271668372623
GO:0005694	chromosome	21	2027	0.105	0.0802486242527416	1.3084336457819437	0.12432326177020153	0.5009496136034591
GO:0060089	molecular transducer activity	11	1978	0.055	0.07830872164377053	0.7023483316481295	0.9198317338591759	1.0
GO:0140110	transcription regulator activity	22	1859	0.11	0.07359752959341224	1.4946153846153847	0.03837003675581737	0.25031881121652283
GO:0005794	Golgi apparatus	13	1839	0.065	0.07280573261015875	0.8927868406742795	0.7041203442424206	1.0
GO:0005739	mitochondrion	20	1827	0.1	0.07233065442020666	1.3825396825396827	0.08819977781367228	0.41182582130316664
GO:0048870	cell motility	22	1791	0.11	0.07090541985035037	1.551362367392518	0.026916329052422677	0.20486317112121702
GO:0007155	cell adhesion	20	1749	0.1	0.06924264618551804	1.4441966838193254	0.06266258228281563	0.3327423111495762
GO:0050877	nervous system process	12	1735	0.06	0.06868838829724058	0.8735100864553315	0.7268832098469545	1.0
GO:0055085	transmembrane transport	15	1701	0.075	0.06734233342570965	1.1137125220458552	0.37113830318019375	0.7898013955259541
GO:0016192	vesicle-mediated transport	12	1694	0.06	0.06706520448157093	0.8946517119244392	0.6962527987691998	1.0
GO:0007010	cytoskeleton organization	15	1595	0.075	0.06314580941446613	1.1877272727272727	0.28252642758571533	0.6875240061239057
GO:0022414	reproductive process	26	1582	0.13	0.06263114137535136	2.075644753476612	0.0003324870972506847	0.009110146464668761
GO:0006629	lipid metabolic process	17	1533	0.085	0.0606912387663803	1.4005316373124592	0.10122739469363923	0.43337978353214296
GO:0098542	defense response to other organism	17	1433	0.085	0.05673225385011283	1.4982658757850664	0.0631481758386057	0.3327423111495762
GO:0005215	transporter activity	8	1361	0.04	0.053881784710400255	0.7423659074210139	0.8500613896040896	1.0
GO:0005768	endosome	9	1242	0.045	0.049170592660041965	0.9151811594202899	0.6544355003450464	1.0
GO:0005198	structural molecule activity	6	1227	0.03	0.04857674492260185	0.6175794621026894	0.9271504712424187	1.0
GO:0006886	intracellular protein transport	12	1222	0.06	0.048378795676788475	1.2402127659574467	0.2627408018125289	0.6544634517875719
GO:1901135	carbohydrate derivative metabolic process	7	1188	0.035	0.04703274080525753	0.744162457912458	0.8352931662950915	1.0
GO:0030163	protein catabolic process	10	1154	0.05	0.045686685933726594	1.0944107452339689	0.4311329686967247	0.8574439265868762
GO:0008092	cytoskeletal protein binding	11	1044	0.055	0.04133180252583238	1.3306944444444444	0.20674213277224293	0.59007650395411
GO:0005773	vacuole	4	991	0.02	0.039233540520210615	0.5097679112008073	0.9565832394463235	1.0
GO:0000278	mitotic cell cycle	9	987	0.045	0.03907518112355992	1.151626139817629	0.38098791379649655	0.7908385483351519
GO:0006954	inflammatory response	12	920	0.06	0.036422661229660716	1.6473260869565216	0.06288496558051368	0.3327423111495762
GO:0005815	microtubule organizing center	7	908	0.035	0.03594758303970862	0.9736398678414099	0.581963451770066	1.0
GO:0005764	lysosome	4	887	0.02	0.03511619620729245	0.5695377677564826	0.9238872274378015	1.0
GO:0008289	lipid binding	7	873	0.035	0.034561938319015	1.0126746849942727	0.54011459282435	0.9999418813099453
GO:0061024	membrane organization	6	861	0.03	0.03408686012906291	0.8801045296167247	0.6805660276218368	1.0
GO:0006325	chromatin organization	6	861	0.03	0.03408686012906291	0.8801045296167247	0.6805660276218368	1.0
GO:0016491	oxidoreductase activity	9	823	0.045	0.03258244586088127	1.381111786148238	0.2067026454116846	0.59007650395411
GO:0034330	cell junction organization	6	791	0.03	0.03131557068767568	0.9579898862199746	0.5994472059563718	1.0
GO:0005929	cilium	9	768	0.045	0.030405004156934163	1.48001953125	0.15725113262039325	0.5352270384437968
GO:0055086	nucleobase-containing small molecule metabolic process	3	723	0.015	0.0286234609446138	0.524045643153527	0.9281896658445475	1.0
GO:0031047	gene silencing by RNA	1	707	0.005	0.027990023358011006	0.17863507779349364	0.9966562107810355	1.0
GO:0140657	ATP-dependent activity	8	660	0.04	0.026129300447365295	1.530848484848485	0.15450277953212727	0.5352270384437968
GO:0006281	DNA repair	2	660	0.01	0.026129300447365295	0.3827121212121212	0.9685313978168356	1.0
GO:0060090	molecular adaptor activity	8	640	0.04	0.025337503464111802	1.5786875	0.13700809834119623	0.5352270384437968
GO:0005975	carbohydrate metabolic process	7	613	0.035	0.024268577536719585	1.442194127243067	0.2140765487859479	0.5985405547688747
GO:0003013	circulatory system process	10	609	0.05	0.024110218140068886	2.073809523809524	0.023751942946155808	0.19141271668372623
GO:0006914	autophagy	8	605	0.04	0.023951858743418188	1.67001652892562	0.10900495910952764	0.4525357393334935
GO:0005840	ribosome	1	601	0.005	0.02379349934676749	0.2101414309484193	0.9920575425875455	1.0
GO:0007005	mitochondrion organization	7	594	0.035	0.023516370402628765	1.488324915824916	0.19300057838221976	0.5748060703992197
GO:0048018	receptor ligand activity	12	589	0.06	0.023318421156815393	2.5730730050933786	0.0026850944299509766	0.04087310410036486
GO:0030312	external encapsulating structure	8	583	0.04	0.023080882061839343	1.7330360205831905	0.09318686467443917	0.41182582130316664
GO:0031012	extracellular matrix	8	582	0.04	0.02304129221267667	1.7360137457044673	0.09250137985163458	0.41182582130316664
GO:0005635	nuclear envelope	5	544	0.025	0.02153687794449503	1.1607996323529413	0.4318513206897406	0.8574439265868762
GO:0006091	generation of precursor metabolites and energy	5	541	0.025	0.02141810839700701	1.1672365988909428	0.4271880202617189	0.8574439265868762
GO:0055065	metal ion homeostasis	0	532	0.0	0.021061799754542934	0.0	1.0	1.0
GO:0140098	catalytic activity, acting on RNA	3	482	0.015	0.0190823072964092	0.7860684647302905	0.7377042906398147	1.0
GO:0042060	wound healing	5	459	0.025	0.018171740765667684	1.3757625272331155	0.29919272394020785	0.6875240061239057
GO:0007018	microtubule-based movement	11	439	0.055	0.017379943782414187	3.164567198177677	0.0007958825210418137	0.016353675971013417
GO:0003012	muscle system process	7	433	0.035	0.01714240468743814	2.0417205542725174	0.057548617800161635	0.3327423111495762
GO:0044782	cilium organization	2	416	0.01	0.016469377251672673	0.6071875	0.8440799171057567	1.0
GO:0007059	chromosome segregation	3	399	0.015	0.0157963498159072	0.9495864661654135	0.6144576061621047	1.0
GO:0051604	protein maturation	5	362	0.025	0.014331525396888237	1.7444060773480665	0.16074449224775694	0.5352270384437968
GO:0003924	GTPase activity	5	360	0.025	0.014252345698562888	1.7540972222222224	0.15821022706990417	0.5352270384437968
GO:0042254	ribosome biogenesis	1	357	0.005	0.014133576151074865	0.35376750700280113	0.9426301355944088	1.0
GO:0006310	DNA recombination	4	356	0.02	0.014093986301912189	1.4190449438202248	0.31178024399632254	0.7002277611064949
GO:0006913	nucleocytoplasmic transport	5	352	0.025	0.01393562690526149	1.7939630681818184	0.1482424800354958	0.5352270384437968
GO:0006790	sulfur compound metabolic process	2	352	0.01	0.01393562690526149	0.7175852272727273	0.7700826637921012	1.0
GO:0030198	extracellular matrix organization	4	350	0.02	0.013856447206936141	1.4433714285714287	0.30110540414185655	0.6875240061239057
GO:0140014	mitotic nuclear division	5	348	0.025	0.013777267508610792	1.8145833333333334	0.14336303506504902	0.5352270384437968
GO:0006520	cellular amino acid metabolic process	3	332	0.015	0.013143829922007997	1.1412198795180724	0.49041937676308806	0.9463021776977896
GO:0072659	protein localization to plasma membrane	1	305	0.005	0.01207490399461578	0.4140819672131148	0.912783368131551	1.0
GO:0006260	DNA replication	2	303	0.01	0.01199572429629043	0.8336303630363037	0.6944167231506606	1.0
GO:0140097	catalytic activity, acting on DNA	0	264	0.0	0.010451720178946118	0.0	1.0	1.0
GO:0042393	histone binding	1	249	0.005	0.009857872441505999	0.5072088353413654	0.863200930738976	1.0
GO:0000228	nuclear chromosome	1	247	0.005	0.00977869274318065	0.5113157894736842	0.8609866281325377	1.0
GO:0006457	protein folding	20	240	0.1	0.009501563799041926	10.524583333333334	5.763955556851289e-15	7.896619112886267e-13
GO:0006486	protein glycosylation	2	240	0.01	0.009501563799041926	1.0524583333333333	0.5685722366114349	1.0
GO:0007163	establishment or maintenance of cell polarity	3	238	0.015	0.009422384100716576	1.591953781512605	0.2918043433774317	0.6875240061239057
GO:0006399	tRNA metabolic process	0	237	0.0	0.0093827942515539	0.0	1.0	1.0
GO:0016829	lyase activity	2	220	0.01	0.008709766815788432	1.1481363636363635	0.521554510507687	0.9924023324937932
GO:0032200	telomere organization	3	213	0.015	0.008432637871649709	1.7788028169014085	0.23853223528670092	0.6202082084056749
GO:0140013	meiotic nuclear division	3	211	0.015	0.00835345817332436	1.7956635071090048	0.23433978258208377	0.6202082084056749
GO:0016874	ligase activity	0	198	0.0	0.007838790134209588	0.0	1.0	1.0
GO:0045182	translation regulator activity	1	195	0.005	0.007720020586721565	0.6476666666666666	0.789054796889666	1.0
GO:0000910	cytokinesis	0	195	0.0	0.007720020586721565	0.0	1.0	1.0
GO:0006575	cellular modified amino acid metabolic process	0	185	0.0	0.007324122095094818	0.0	1.0	1.0
GO:0016853	isomerase activity	3	183	0.015	0.007244942396769469	2.0704098360655734	0.17741474337860894	0.5524049964288505
GO:0002181	cytoplasmic translation	0	179	0.0	0.007086583000118769	0.0	1.0	1.0
GO:0140053	mitochondrial gene expression	1	174	0.005	0.006888633754305396	0.7258333333333333	0.7504230022981894	1.0
GO:0005777	peroxisome	1	154	0.005	0.0060968367710519025	0.8200974025974026	0.7071099908607139	1.0
GO:0098754	detoxification	2	137	0.01	0.005423809335286432	1.8437226277372265	0.29558566425862776	0.6875240061239057
GO:0003774	cytoskeletal motor activity	0	128	0.0	0.00506750069282236	0.0	1.0	1.0
GO:0003014	renal system process	3	127	0.015	0.0050279108436596855	2.9833464566929133	0.08013115999586688	0.39207031855120583
GO:0006766	vitamin metabolic process	2	118	0.01	0.0046716022011956135	2.140593220338983	0.23993456237591806	0.6202082084056749
GO:0005811	lipid droplet	0	109	0.0	0.0043152935587315415	0.0	1.0	1.0
GO:0007040	lysosome organization	0	108	0.0	0.004275703709568867	0.0	1.0	1.0
GO:0022600	digestive system process	1	104	0.005	0.004117344312918168	1.214375	0.5632713796591415	1.0
GO:0140104	molecular carrier activity	4	101	0.02	0.003998574765430143	5.001782178217822	0.008572168300732552	0.09786558810002996
GO:0038024	cargo receptor activity	0	98	0.0	0.0038798052179421197	0.0	1.0	1.0
GO:0050886	endocrine process	1	96	0.005	0.0038006255196167704	1.3155729166666668	0.5344775248870354	0.9999418813099453
GO:0001618	virus receptor activity	5	94	0.025	0.003721445821291421	6.7178191489361705	0.00091854439805625	0.016353675971013417
GO:0016209	antioxidant activity	2	93	0.01	0.0036818559721287464	2.716021505376344	0.16799096827068077	0.5352270384437968
GO:0044183	protein folding chaperone	11	75	0.055	0.002969238687200602	18.523266666666665	1.831697036870435e-11	1.2547124702562479e-09
GO:0098631	cell adhesion mediator activity	0	72	0.0	0.002850469139712578	0.0	1.0	1.0
GO:0140223	general transcription initiation factor activity	0	61	0.0	0.002414980798923156	0.0	1.0	1.0
GO:0016073	snRNA metabolic process	1	59	0.005	0.0023358011005978068	2.140593220338983	0.3747232898480804	0.7898013955259541
GO:0140299	small molecule sensor activity	0	50	0.0	0.0019794924581337343	0.0	1.0	1.0
GO:0003016	respiratory system process	0	41	0.0	0.0016231838156696623	0.0	1.0	1.0
GO:0007031	peroxisome organization	0	40	0.0	0.0015835939665069876	0.0	1.0	1.0
GO:0140313	molecular sequestering activity	0	38	0.0	0.0015044142681816383	0.0	1.0	1.0
GO:0009975	cyclase activity	1	23	0.005	0.0009105665307415179	5.491086956521739	0.16716364394749747	0.5352270384437968
GO:0071941	nitrogen cycle metabolic process	0	13	0.0	0.000514668039114771	0.0	1.0	1.0
GO:0031386	protein tag	2	13	0.01	0.000514668039114771	19.43	0.004594189632996567	0.06294039797205297
GO:0120274	virus coreceptor activity	0	1	0.0	3.958984916267469e-05	0.0	1.0	1.0
GO:0007568	aging	0	1	0.0	3.958984916267469e-05	0.0	1.0	1.0
GO:0071554	cell wall organization or biogenesis	0	1	0.0	3.958984916267469e-05	0.0	1.0	1.0
