GeneName	up5	dn5	unchange5	all	HN5
Hsd17b1	20	4	218	242	16
Hrk	17	1	224	242	16
Gm38999	22	6	214	242	16
Ly6g6d	22	6	214	242	16
Gm5741	40	24	178	242	16
AF366264	21	5	216	242	16
H3c8	33	17	192	242	16
Myocos	22	6	214	242	16
Best3	18	2	222	242	16
Spry4	19	3	220	242	16
Actc1	21	5	216	242	16
Asns	18	2	222	242	16
Apoc3	24	9	209	242	15
Fermt3	21	6	215	242	15
Btg2	19	4	219	242	15
Apoc1	26	11	205	242	15
Gm10720	22	7	213	242	15
Bglap	36	21	185	242	15
Gm3376	17	2	223	242	15
Nme5	24	9	209	242	15
Cabp5	17	2	223	242	15
Ighg2c	21	6	215	242	15
Gm10800	37	22	183	242	15
Gm10801	39	24	179	242	15
Ifi205	24	9	209	242	15
P4ha1	19	4	219	242	15
Gm28035	22	7	213	242	15
Hmgcs2	20	5	217	242	15
Ccdc194	20	5	217	242	15
Fthl17c	17	2	223	242	15
Crygs	20	5	217	242	15
Xlr5b	21	6	215	242	15
Psca	26	11	205	242	15
Cldn7	24	9	209	242	15
Nmu	21	6	215	242	15
Retn	29	14	199	242	15
Iqcn	15	0	227	242	15
Hmox1	15	1	226	242	14
Id1	20	6	216	242	14
Hspe1-rs1	41	27	174	242	14
Havcr1	16	2	224	242	14
Parvg	21	7	214	242	14
A3galt2	18	4	220	242	14
Hhatl	23	9	210	242	14
Tnfrsf12a	19	5	218	242	14
Defb19	21	7	214	242	14
Nr0b2	17	3	222	242	14
Fut1	19	5	218	242	14
Gal	16	2	224	242	14
Nat8f7	23	9	210	242	14
Ramp3	20	6	216	242	14
Vpreb1	30	16	196	242	14
Spon2	17	3	222	242	14
1700007K13Rik	25	11	206	242	14
Krtap3-2	15	1	226	242	14
Noxred1	22	8	212	242	14
Cldn19	24	10	208	242	14
Cldn6	18	4	220	242	14
Rnf224	17	3	222	242	14
Snapc1l	32	18	192	242	14
Klf6	15	1	226	242	14
Rasl11a	21	7	214	242	14
Acnat1	17	3	222	242	14
Ugt1a10	20	6	216	242	14
H2-Bl	25	11	206	242	14
Gm10718	36	22	184	242	14
Susd3	15	1	226	242	14
Iqca1l	18	4	220	242	14
Serpina3i	20	6	216	242	14
Igkv8-28	16	2	224	242	14
Obp2a	16	2	224	242	14
Cfd	24	10	208	242	14
Myc	16	3	223	242	13
Trim72	15	2	225	242	13
Rnf223	13	0	229	242	13
Cldn15	16	3	223	242	13
Retnlg	22	9	211	242	13
Msantd1	19	6	217	242	13
Trib2	17	4	221	242	13
Bst2	17	4	221	242	13
Mt4	21	8	213	242	13
Tceal5	22	9	211	242	13
Gm11032	34	21	187	242	13
Fosb	21	8	213	242	13
Apoa1	21	8	213	242	13
Hba-a2	28	15	199	242	13
Igha	18	5	219	242	13
Igfbp7	16	3	223	242	13
Dusp8	19	6	217	242	13
Acbd7	24	11	207	242	13
Gabrr2	17	4	221	242	13
Klrb1b	14	1	227	242	13
Tnfsf9	18	5	219	242	13
Adig	30	17	195	242	13
Krt20	13	0	229	242	13
Fpr2	26	13	203	242	13
Hspa4l	16	3	223	242	13
A730049H05Rik	18	5	219	242	13
Col6a3	15	2	225	242	13
Fgf8	16	3	223	242	13
Defa3	17	4	221	242	13
Mroh6	13	0	229	242	13
Sphk1	22	9	211	242	13
Ccl21a	15	2	225	242	13
Cd3e	14	1	227	242	13
Ccr5	27	14	201	242	13
Gpnmb	19	6	217	242	13
Ctrb1	21	8	213	242	13
Potegl	14	1	227	242	13
Gm28053	26	13	203	242	13
Cysrt1	27	14	201	242	13
Gsta2	19	6	217	242	13
H3c2	34	21	187	242	13
Ctsk	22	9	211	242	13
Gm3285	13	0	229	242	13
Pla2g12b	16	3	223	242	13
