Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HN-score(HN5)	organism	start1 (bp)	end1 (bp)	GOSlim GOA Accession(s)	GOSlim GOA Description
Os01g0136050	R_1	1944426	1944968	222	rice	1944426	1944968	GO:0016020	membrane
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0003674	molecular_function
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0005515	protein binding
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0005488	binding
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0008150	biological_process
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0009987	cellular process
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0016043	cellular component organization
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0006950	response to stress
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0009628	response to abiotic stimulus
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0042221	response to chemical
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0005575	cellular_component
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0005622	intracellular anatomical structure
Os03g0266300	R_3	8805567	8806556	217	rice	8805567	8806556	GO:0005634	nucleus
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0003674	molecular_function
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0005515	protein binding
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0005488	binding
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0008150	biological_process
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0009987	cellular process
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0016043	cellular component organization
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0006950	response to stress
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0009628	response to abiotic stimulus
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0042221	response to chemical
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0005575	cellular_component
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0005622	intracellular anatomical structure
Os01g0184100	R_1	4449070	4449876	215	rice	4449070	4449876	GO:0005737	cytoplasm
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0003674	molecular_function
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0005515	protein binding
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0005488	binding
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0008150	biological_process
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0009987	cellular process
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0016043	cellular component organization
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0006950	response to stress
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0009628	response to abiotic stimulus
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0042221	response to chemical
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0005575	cellular_component
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0005622	intracellular anatomical structure
Os01g0135800	R_1	1934117	1934924	215	rice	1934117	1934924	GO:0005737	cytoplasm
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0003674	molecular_function
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0005515	protein binding
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0005488	binding
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0008150	biological_process
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0042221	response to chemical
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0009987	cellular process
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0016043	cellular component organization
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0006950	response to stress
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0009628	response to abiotic stimulus
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0005575	cellular_component
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0005622	intracellular anatomical structure
Os03g0267000	R_3	8834869	8835576	213	rice	8834869	8835576	GO:0005737	cytoplasm
Os11g0149200	R_11	2276477	2276917	208	rice	2276477	2276917	GO:0008150	biological_process
Os11g0149200	R_11	2276477	2276917	208	rice	2276477	2276917	GO:0009987	cellular process
Os11g0149200	R_11	2276477	2276917	208	rice	2276477	2276917	GO:0008152	metabolic process
Os11g0149200	R_11	2276477	2276917	208	rice	2276477	2276917	GO:0009058	biosynthetic process
Os11g0149200	R_11	2276477	2276917	208	rice	2276477	2276917	GO:0006139	nucleobase-containing compound metabolic process
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0003674	molecular_function
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0005515	protein binding
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0005488	binding
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0008150	biological_process
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0042221	response to chemical
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0009987	cellular process
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0016043	cellular component organization
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0006950	response to stress
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0009628	response to abiotic stimulus
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0005575	cellular_component
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0005622	intracellular anatomical structure
Os03g0267200	R_3	8837821	8838527	191	rice	8837821	8838527	GO:0005737	cytoplasm
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0003674	molecular_function
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0003824	catalytic activity
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0016787	hydrolase activity
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0008150	biological_process
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0008152	metabolic process
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0019538	protein metabolic process
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0005575	cellular_component
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0005622	intracellular anatomical structure
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0016020	membrane
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0005737	cytoplasm
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0009579	thylakoid
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0009507	chloroplast
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0009536	plastid
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0009987	cellular process
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0016043	cellular component organization
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0005488	binding
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0000166	nucleotide binding
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0006091	generation of precursor metabolites and energy
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0009628	response to abiotic stimulus
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0009416	response to light stimulus
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0015979	photosynthesis
Os06g0229000	R_6	6701280	6701973	185	rice	6701280	6701973	GO:0009056	catabolic process
Os08g0104400	R_8	233816	234464	176	rice	233816	234464	GO:0008150	biological_process
Os08g0104400	R_8	233816	234464	176	rice	233816	234464	GO:0000003	reproduction
Os08g0104400	R_8	233816	234464	176	rice	233816	234464	GO:0048856	anatomical structure development
Os08g0104400	R_8	233816	234464	176	rice	233816	234464	GO:0007275	multicellular organism development
Os08g0104400	R_8	233816	234464	176	rice	233816	234464	GO:0009791	post-embryonic development
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0008150	biological_process
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0008152	metabolic process
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0019538	protein metabolic process
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0003674	molecular_function
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0005488	binding
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0000166	nucleotide binding
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0005575	cellular_component
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0005622	intracellular anatomical structure
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0005634	nucleus
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0005737	cytoplasm
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0005829	cytosol
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0009987	cellular process
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0006950	response to stress
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0009628	response to abiotic stimulus
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0003824	catalytic activity
Os05g0519700	R_5	25803609	25807160	171	rice	25803609	25807160	GO:0016787	hydrolase activity
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0008150	biological_process
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0006950	response to stress
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0009628	response to abiotic stimulus
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0003674	molecular_function
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0005515	protein binding
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0005488	binding
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0009987	cellular process
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0016043	cellular component organization
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0009416	response to light stimulus
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0042221	response to chemical
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0005575	cellular_component
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0005622	intracellular anatomical structure
Os02g0782500	R_2	33179489	33180405	166	rice	33179489	33180405	GO:0005737	cytoplasm
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0003674	molecular_function
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0005515	protein binding
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0005488	binding
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0008150	biological_process
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0042221	response to chemical
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0009987	cellular process
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0016043	cellular component organization
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0006950	response to stress
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0009628	response to abiotic stimulus
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0005575	cellular_component
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0005622	intracellular anatomical structure
Os03g0266900	R_3	8833718	8834470	163	rice	8833718	8834470	GO:0005737	cytoplasm
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0003674	molecular_function
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0005515	protein binding
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0005488	binding
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0008150	biological_process
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0009987	cellular process
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0003824	catalytic activity
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0016787	hydrolase activity
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0009628	response to abiotic stimulus
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0009416	response to light stimulus
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0000166	nucleotide binding
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0006950	response to stress
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0042221	response to chemical
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0005575	cellular_component
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0005622	intracellular anatomical structure
Os03g0218500	R_3	6244085	6247317	162	rice	6244085	6247317	GO:0005737	cytoplasm
Os01g0224200	R_1	6830317	6832770	161	rice	6830317	6832770	GO:0008150	biological_process
Os01g0224200	R_1	6830317	6832770	161	rice	6830317	6832770	GO:0009987	cellular process
Os01g0224200	R_1	6830317	6832770	161	rice	6830317	6832770	GO:0016043	cellular component organization
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0003674	molecular_function
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0003824	catalytic activity
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0016787	hydrolase activity
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0008150	biological_process
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0008152	metabolic process
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0019538	protein metabolic process
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0005575	cellular_component
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0005622	intracellular anatomical structure
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0016020	membrane
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0005737	cytoplasm
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0009579	thylakoid
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0009507	chloroplast
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0009536	plastid
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0009987	cellular process
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0016043	cellular component organization
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0005488	binding
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0000166	nucleotide binding
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0006091	generation of precursor metabolites and energy
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0009628	response to abiotic stimulus
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0009416	response to light stimulus
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0015979	photosynthesis
Os06g0229066	R_6	6702956	6704431	155	rice	6702956	6704431	GO:0009056	catabolic process
Os03g0745600	R_3	30639024	30640119	151	rice	30639024	30640119	GO:0005575	cellular_component
Os03g0745600	R_3	30639024	30640119	151	rice	30639024	30640119	GO:0016020	membrane
Os06g0668200	R_6	27676510	27679751	140	rice	27676510	27679751	GO:0003674	molecular_function
Os06g0668200	R_6	27676510	27679751	140	rice	27676510	27679751	GO:0003824	catalytic activity
Os06g0668200	R_6	27676510	27679751	140	rice	27676510	27679751	GO:0016740	transferase activity
Os06g0668200	R_6	27676510	27679751	140	rice	27676510	27679751	GO:0016301	kinase activity
